rep,loglik,nu_true,nu_est,T_true,T_est,theta
1,-308.29541570697984,1.0,1.0079135537595243,1.5,1.513430318409193,248221.96500365096
2,-308.295415786386,1.0,1.007912894735743,1.5,1.513429133723592,248222.1014489228
3,-308.295415801731,1.0,1.007913045043292,1.5,1.5134297976460636,248222.0559832023
4,-308.2954158068751,1.0,1.0079136881055073,1.5,1.5134307332798724,248221.9308684783
5,-308.29541566240005,1.0,1.0079134745211789,1.5,1.513430215064616,248221.97998170397
6,-308.2954306093161,1.0,1.0078976164892948,1.5,1.5134035760933244,248225.1953556491
7,-308.2954157732129,1.0,1.0079138672136345,1.5,1.5134309372546928,248221.89808229276
8,-308.2954157324857,1.0,1.007912946809296,1.5,1.5134292127381697,248222.09119976452
9,-308.2954158022658,1.0,1.0079136182611268,1.5,1.5134304480951923,248221.95114404932
10,-308.2954268204303,1.0,1.007906523463058,1.5,1.5134112182256854,248223.65608221534
11,-308.2954161277594,1.0,1.007911772244573,1.5,1.5134262178201887,248222.36658530417
12,-308.29541574101677,1.0,1.0079135692146606,1.5,1.513430704449757,248221.94874666329
13,-308.2954157636632,1.0,1.0079138710191542,1.5,1.5134309098294791,248221.89854471482
14,-308.29541576171687,1.0,1.007913450280664,1.5,1.5134302339553554,248221.98272139224
15,-308.2954160787667,1.0,1.0079152142675574,1.5,1.5134323849946991,248221.65465358863
16,-308.29541577996133,1.0,1.0079144016414727,1.5,1.5134318547842058,248221.78900526362
17,-308.29541576747215,1.0,1.007914235221807,1.5,1.5134316169455932,248221.8212299547
18,-308.2954157592394,1.0,1.0079130176087499,1.5,1.5134294334290843,248222.07314043186
19,-308.2954157563072,1.0,1.0079134944495813,1.5,1.513430209196477,248221.9773755579
20,-308.2954157251261,1.0,1.0079133481376255,1.5,1.513430004477683,248222.00554766617
21,-308.29541588130087,1.0,1.0079141268723033,1.5,1.5134314910263065,248221.8411486656
22,-308.29541582143065,1.0,1.007913671135434,1.5,1.513430965545201,248221.9248061062
23,-308.29541576160045,1.0,1.0079129150422974,1.5,1.513429213419837,248222.09567378834
24,-308.29541592951864,1.0,1.0079120365827545,1.5,1.513428269854503,248222.2544022388
25,-308.29541580343357,1.0,1.0079134580467364,1.5,1.513430230884037,248221.98173803178
26,-308.2954157908607,1.0,1.0079140679012848,1.5,1.513431169404324,248221.86121698542
27,-308.29541574820905,1.0,1.0079133619643275,1.5,1.5134300437237331,248222.00215508087
28,-308.29541578643693,1.0,1.0079136795027956,1.5,1.5134305563783608,248221.93852807969
29,-308.2954157803397,1.0,1.0079144188115567,1.5,1.5134320231278828,248221.78043500712
30,-308.2954158481807,1.0,1.007912837408447,1.5,1.5134288590870202,248222.11956699908
31,-308.29541579732177,1.0,1.007913648413671,1.5,1.5134305200185647,248221.94425310896
32,-308.2954159119108,1.0,1.0079123238567074,1.5,1.5134284476802342,248222.20725038013
33,-308.29541573841925,1.0,1.007913540843615,1.5,1.5134303467861754,248221.96579502046
34,-308.2954159561159,1.0,1.0079114676677239,1.5,1.51342719297399,248222.3741659829
35,-308.29541609887383,1.0,1.0079151342859471,1.5,1.5134318289425392,248221.6862374314
36,-308.2954157114109,1.0,1.007913211480785,1.5,1.5134297946491448,248222.03253891054
37,-308.2954157354143,1.0,1.0079138540849775,1.5,1.513430882551152,248221.9019357714
38,-308.2954157551976,1.0,1.0079134367346672,1.5,1.5134302317173232,248221.9847233802
39,-308.2954161890593,1.0,1.0079137133061442,1.5,1.5134291165477178,248221.9862006806
40,-308.2954158680004,1.0,1.0079127933671193,1.5,1.5134293534916665,248222.10779190695
41,-308.2954158097273,1.0,1.007914000332492,1.5,1.513431270156746,248221.86711131944
42,-308.29541612452886,1.0,1.0079113760631735,1.5,1.5134262117133257,248222.42288492344
43,-308.2954157917593,1.0,1.0079132650210527,1.5,1.51342983622368,248222.02343804776
44,-308.29541581438025,1.0,1.0079133017856943,1.5,1.5134299489296,248222.0141269925
45,-308.2954157445347,1.0,1.0079133775180524,1.5,1.5134300282946018,248222.00051862147
46,-308.29541585404513,1.0,1.0079138863461428,1.5,1.5134308147573048,248221.89983196332
47,-308.2954157210952,1.0,1.007913777092855,1.5,1.5134306153997341,248221.92256919172
48,-308.2954160920817,1.0,1.007911889146707,1.5,1.5134284392097581,248222.26910212066
49,-308.2954157333479,1.0,1.0079134874680702,1.5,1.513430218399011,248221.97802782583
50,-308.29541732715734,1.0,1.0079085790873312,1.5,1.5134213331164412,248222.99655921353
