rep,loglik,nu_true,nu_est,T_true,T_est,theta
1,-151.5312764218594,1.0,1.0034098457829022,0.5,0.4810424563387041,2497.21183127053
2,-151.53127800838485,1.0,1.003397591074763,0.5,0.48107243679954176,2497.199387069029
3,-151.5312764195602,1.0,1.0034110526433893,0.5,0.48104091156865897,2497.211858612783
4,-151.53127642134064,1.0,1.003408907411227,0.5,0.48103977183958285,2497.2151176114535
5,-151.5312764955651,1.0,1.0034077136203257,0.5,0.4810476374090435,2497.2096958361426
6,-151.53127641787358,1.0,1.0034100433276703,0.5,0.48104055650569433,2497.213237725082
7,-151.53127641853524,1.0,1.0034108144840037,0.5,0.48104131610406703,2497.211768345218
8,-151.53127641895477,1.0,1.0034106105050282,0.5,0.481040685782358,2497.2125225353125
9,-151.53127652249594,1.0,1.0034015187914367,0.5,0.48103053130801016,2497.2308668350915
10,-151.53127642049873,1.0,1.0034102291264564,0.5,0.48104094416264326,2497.212709497943
11,-151.53127641800586,1.0,1.0034108994918547,0.5,0.4810415265047176,2497.2114985482035
12,-151.53127667178035,1.0,1.0033962213977468,0.5,0.4810245728418924,2497.2415910952054
13,-151.53127645498103,1.0,1.0034142734089635,0.5,0.4810486153333334,2497.2018645411395
14,-151.53127643159866,1.0,1.0034090292101372,0.5,0.48103666915071563,2497.217628823291
15,-151.53127786957137,1.0,1.0034270713386895,0.5,0.4810141838410459,2497.2175211132685
16,-151.53127645374616,1.0,1.0034052328915035,0.5,0.48104019183100405,2497.2186805697042
17,-151.5312764202122,1.0,1.003411636386714,0.5,0.48104311280171214,2497.209362009914
18,-151.53127642188065,1.0,1.003413243356217,0.5,0.48104280899282037,2497.2079061035383
19,-151.5312786679275,1.0,1.0033755683303558,0.5,0.4810556791233228,2497.2371488978465
20,-151.53127642609084,1.0,1.003409897020745,0.5,0.48103770905117044,2497.2158177122383
21,-151.53127932476275,1.0,1.003445551120007,0.5,0.4810163303270067,2497.1959784419955
22,-151.53127649693053,1.0,1.0034177690391077,0.5,0.4810516391022888,2497.195561041631
23,-151.53127641760605,1.0,1.0034109026824825,0.5,0.4810410081367383,2497.2119363992238
24,-151.53127641941992,1.0,1.0034103814761082,0.5,0.48104136884390947,2497.212185440539
25,-151.53127642347607,1.0,1.0034088623332478,0.5,0.4810409153542309,2497.2141922966957
26,-151.53127903859522,1.0,1.00335766338173,0.5,0.48099819699884416,2497.3051848578084
27,-151.53127647430287,1.0,1.0034138267664166,0.5,0.4810355592494547,2497.2134550141723
28,-151.53127683687728,1.0,1.003432617709767,0.5,0.4810491707040269,2497.1818200645944
29,-151.5312764202962,1.0,1.0034125772718385,0.5,0.4810418486555387,2497.209434248404
30,-151.5312765681939,1.0,1.0034085607667622,0.5,0.4810273125347091,2497.2260935813224
31,-151.53127641814854,1.0,1.0034111726363888,0.5,0.4810411997272463,2497.211485289881
32,-151.53127641966708,1.0,1.003410483440112,0.5,0.4810395080608666,2497.213660640092
33,-151.5312764192584,1.0,1.0034110651746728,0.5,0.48104104142509735,2497.2117347003773
34,-151.5312764274265,1.0,1.003414096488062,0.5,0.48104401176160494,2497.205972033096
35,-151.53127644320784,1.0,1.0034149386447635,0.5,0.4810471463368086,2497.2024052406146
36,-151.53127644904245,1.0,1.0034093218588702,0.5,0.4810347422206708,2497.218956907115
37,-151.53127652172458,1.0,1.0034162022450253,0.5,0.4810535154062739,2497.1956355446946
38,-151.5312764184102,1.0,1.0034112908440675,0.5,0.4810411798457835,2497.211376092192
39,-151.53127641867755,1.0,1.0034105418956747,0.5,0.4810406249599654,2497.2126475144014
40,-151.53127642905318,1.0,1.0034076527606164,0.5,0.4810399110845181,2497.2163377051666
41,-151.53127641862042,1.0,1.003411137108639,0.5,0.4810412428326126,2497.2114865019803
42,-151.53127641787083,1.0,1.003411301677815,0.5,0.4810414462925504,2497.211137726355
43,-151.5312768484023,1.0,1.0033949625256795,0.5,0.4810466026822213,2497.224181428393
44,-151.5312764718686,1.0,1.0034086685956578,0.5,0.4810468436675026,2497.2093525955675
45,-151.5312764182565,1.0,1.0034110325816128,0.5,0.4810410113504526,2497.211795076485
46,-151.53127642344458,1.0,1.0034088037497901,0.5,0.4810384104457986,2497.216387095542
47,-151.5312773404708,1.0,1.003393150064028,0.5,0.4810569423109455,2497.217314102733
48,-151.53127641702466,1.0,1.003411079918947,0.5,0.4810411760991666,2497.211604329593
49,-151.53127790257116,1.0,1.0033876160285875,0.5,0.48099487147009523,2497.276057409376
50,-151.5312821256983,1.0,1.0034847008324126,0.5,0.4811164562476791,2497.068981718426
