rep,loglik,nu_true,nu_est,T_true,T_est,theta
1,-240.1717056864427,1.0,0.9918068022033186,0.5,0.4975391152125795,50346.49231381144
2,-240.1717056119851,1.0,0.9918063064937986,0.5,0.4975379560726732,50346.522418610904
3,-240.17170615082796,1.0,0.9918048341665213,0.5,0.4975412972721196,50346.499810219
4,-240.17170558152338,1.0,0.9918053799710053,0.5,0.49753618956771817,50346.572081542436
5,-240.17170559306032,1.0,0.9918065661768175,0.5,0.49753644789228957,50346.54157977157
6,-240.17170557332156,1.0,0.9918058243648107,0.5,0.49753663332128517,50346.55492487702
7,-240.17170557951613,1.0,0.9918055880778505,0.5,0.49753659608850653,50346.56076582229
8,-240.17170557168083,1.0,0.9918058119047591,0.5,0.4975363966345597,50346.55910897985
9,-240.17170573498424,1.0,0.9918075047796822,0.5,0.4975397737489878,50346.465900345895
10,-240.17170558783437,1.0,0.9918059494471004,0.5,0.4975373009528461,50346.5411336779
11,-240.17170556684232,1.0,0.9918055531335007,0.5,0.4975364457831433,50346.56402078096
12,-240.17170557438112,1.0,0.9918053272906953,0.5,0.4975368121578603,50346.56296593932
13,-240.1717055776262,1.0,0.9918048566466419,0.5,0.49753644352646825,50346.57946262517
14,-240.17170606485615,1.0,0.9918022726709705,0.5,0.4975303902054782,50346.736573707
15,-240.17170556693054,1.0,0.9918053020538837,0.5,0.49753622846953144,50346.57316262297
16,-240.1717059808525,1.0,0.9918005653889018,0.5,0.49753364923817156,50346.720517954935
17,-240.171705577618,1.0,0.9918055029766943,0.5,0.4975363686308239,50346.56640407029
18,-240.1717055850695,1.0,0.9918056988322189,0.5,0.4975369733266833,50346.55208675213
19,-240.17170556552537,1.0,0.9918050435204216,0.5,0.4975364571021099,50346.57510517073
20,-240.17170560724662,1.0,0.991804766746113,0.5,0.4975350076318522,50346.60516208869
21,-240.1717055862564,1.0,0.9918054272485105,0.5,0.4975366684914276,50346.56312740087
22,-240.17170590069236,1.0,0.9918053131433833,0.5,0.4975322525703372,50346.63857194948
23,-240.17170556257406,1.0,0.9918053861342648,0.5,0.49753627235602066,50346.57057814631
24,-240.17170557930604,1.0,0.991805145686039,0.5,0.4975352117014267,50346.59341110381
25,-240.17170556842302,1.0,0.991805038199814,0.5,0.49753560243602063,50346.589336047095
26,-240.1717055809695,1.0,0.9918049564576579,0.5,0.4975361722998401,50346.581733924744
27,-240.17170557329155,1.0,0.991805237367616,0.5,0.49753576393821414,50346.58226407482
28,-240.17170556334804,1.0,0.991805397907126,0.5,0.4975363143345372,50346.56962458064
29,-240.17170559239457,1.0,0.9918054979257585,0.5,0.4975365239717075,50346.563950623975
30,-240.1717055820336,1.0,0.9918059955326728,0.5,0.4975365058532147,50346.55324392766
31,-240.17170599277233,1.0,0.9918032293654864,0.5,0.4975308661586666,50346.707554287445
32,-240.17170565841934,1.0,0.9918032449866989,0.5,0.49753484741410753,50346.641465561916
33,-240.17170563289892,1.0,0.9918038056829376,0.5,0.49753593186297396,50346.61115669544
34,-240.1717055744857,1.0,0.9918045878390769,0.5,0.4975358877632735,50346.594585386236
35,-240.17170557661302,1.0,0.9918054769064315,0.5,0.49753677562008136,50346.56026014929
36,-240.17170555419398,1.0,0.9918052868990489,0.5,0.4975361384670378,50346.574983916595
37,-240.171705626708,1.0,0.991805272401839,0.5,0.49753475284621923,50346.5981854347
38,-240.17170587786768,1.0,0.9918040010706999,0.5,0.49753187106006114,50346.67389179785
39,-240.17170557202735,1.0,0.9918051722283764,0.5,0.4975359996360798,50346.57981271924
40,-240.17170559880924,1.0,0.9918053199836107,0.5,0.4975371270115155,50346.55792822322
41,-240.1717193224731,1.0,0.9917779800455323,0.5,0.4975155489707588,50347.51895920404
42,-240.17170562187766,1.0,0.9918042716293386,0.5,0.4975346050617901,50346.62276065243
43,-240.17170556968085,1.0,0.991804923974926,0.5,0.49753566692814327,50346.590797456716
44,-240.17170559667284,1.0,0.9918054182919278,0.5,0.49753626122544153,50346.57005057065
45,-240.17170563270338,1.0,0.9918064391585248,0.5,0.497538417267039,50346.511868691814
46,-240.17170556057863,1.0,0.9918056291283963,0.5,0.4975364632561051,50346.56205137339
47,-240.17170744784562,1.0,0.9918156107280967,0.5,0.4975428411749478,50346.23596491304
48,-240.17170557424106,1.0,0.9918051659456617,0.5,0.49753690706649345,50346.564967122154
49,-240.17170557122972,1.0,0.991805481443562,0.5,0.49753646771972054,50346.56524408171
50,-240.1717056101661,1.0,0.9918069299339943,0.5,0.49753749437746236,50346.516253613896
