rep,loglik,nu_true,nu_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-1195.1443813437477,1.0,0.3950387508746876,0.5,0.23145838755487744,1.0,0.42430865822730013,0.5,0.2187221481056419,5e-05,0.00010100000000000002,4294.501581235776
2,-1901.2687915537103,1.0,0.3332585485313271,0.5,1.746649931275192,1.0,0.3432518829714552,0.5,0.1302678335656893,5e-05,0.00010100000000000002,2680.699933194494
3,-614.341558865846,1.0,1.195440116891878,0.5,0.6543482588309222,1.0,0.29220040734440267,0.5,0.9345006464224849,5e-05,0.00010100000000000002,2374.09330686166
4,-567.3947963395844,1.0,0.6216767893681823,0.5,0.23790118909816751,1.0,0.3253941626218423,0.5,0.23227590610712978,5e-05,0.000101,4095.3331845716925
5,-509.10871107725995,1.0,0.6794393808968873,0.5,0.5457483028103821,1.0,0.5389382010102486,0.5,0.3016469603297817,5e-05,0.000101,2736.055343995144
6,-373.7607877713587,1.0,0.6423112575935976,0.5,0.34953020798552337,1.0,0.5970324811049974,0.5,0.16771392645878888,5e-05,0.0002166353922882122,3194.9705604844016
7,-533.7159707869336,1.0,1.1026795454239111,0.5,0.2391416406930128,1.0,0.2656465626975803,0.5,0.22765208997061093,5e-05,0.00016513970786824473,3958.485062650188
8,-891.2923293319318,1.0,0.7725398288385671,0.5,0.13574443018114907,1.0,0.3745684789657276,0.5,0.09404443063233396,5e-05,0.000101,4297.108023845119
9,-727.2089868480709,1.0,0.9759993788420288,0.5,0.21436599598425377,1.0,1.3451609550216013,0.5,0.07703539530089681,5e-05,0.000101,2596.9266984799215
10,-1272.952939632327,1.0,3.5107742147605303,0.5,0.411113399554645,1.0,1.0860314287722554,0.5,0.7036412300032239,5e-05,0.00010099999999999999,2504.944542520704
11,-398.3845282346682,1.0,0.9731934759038272,0.5,0.49278897125835797,1.0,0.49855502199485446,0.5,0.45479629753943573,5e-05,0.000101,2763.7666314601724
12,-1458.6036136246123,1.0,0.29055434557764254,0.5,0.23464409116166754,1.0,0.5015291464620488,0.5,0.1149977142930295,5e-05,0.000101,4411.639167774803
13,-976.2442881930385,1.0,38.61307754651612,0.5,1.5864674212916057,1.0,2.596542776699667,0.5,2.2005943895968763,5e-05,0.00010166834682574579,903.3107348856798
14,-489.4706902439404,1.0,0.527921190616038,0.5,0.3703593622498273,1.0,0.0001,0.5,0.4482310405347872,5e-05,0.00010100084965429488,3655.9999042653126
15,-443.79141821348423,1.0,1.0029826611796067,0.5,0.5479127010074663,1.0,0.7458735691581783,0.5,0.3754689328032702,5e-05,0.00010175,2478.9916128668683
16,-448.9309075108774,1.0,3.456993406086096,0.5,0.5813617835668297,1.0,0.3835048822559708,0.5,0.701607062549393,5e-05,0.000101,2474.9561623835893
17,-1647.5430133878388,1.0,0.5474244042809548,0.5,1.7890276255336572,1.0,0.7399320992942174,0.5,0.15439833850824783,5e-05,0.00016371562026858325,2162.8991930357456
18,-573.0117363231905,1.0,1.9861721964704495,0.5,0.22898487773607276,1.0,0.2613187929178,0.5,0.23593549638972217,5e-05,0.0001257970856030582,3967.550082951677
19,-409.4630016103975,1.0,3.623281338024429,0.5,0.35242686280817115,1.0,0.30941980820926324,0.5,0.4898474596561912,5e-05,0.000101,3323.0287177319565
20,-1008.6143203333859,1.0,3.747436736401494,0.5,1.200993478802239,1.0,0.4830864677917474,0.5,1.6969507483063233,5e-05,0.00010099998183473384,1466.349021782376
21,-679.8666777904023,1.0,0.2931778629743762,0.5,0.5483999817906487,1.0,0.3102158464358516,0.5,0.25492356684161344,5e-05,0.000101,3257.6975533726627
22,-1053.4743715498462,1.0,2.0659792551586125,0.5,0.4318008980487086,1.0,0.9852699139422886,0.5,0.21518413886262627,5e-05,0.000101,2197.7595869311067
23,-673.9919826455101,1.0,0.2986183041517956,0.5,0.3235067932618108,1.0,0.5194541480457862,0.5,0.0001,5e-05,0.00010099870065726375,4112.258722917785
24,-562.4103660420723,1.0,1.1403607003602245,0.5,0.24537931449848444,1.0,0.9270080915749185,0.5,0.16985290112494997,5e-05,0.00010174999999999999,3020.9947844404014
25,-749.578478623682,1.0,0.5176145886330302,0.5,0.1580523956344771,1.0,0.33246317372096124,0.5,0.08866275266825537,5e-05,0.000101,4346.651247639385
26,-471.97471272567475,1.0,0.37543644717924385,0.5,0.23839303099739903,1.0,0.38226692494546466,0.5,0.06583771596574638,5e-05,0.00010099999999999999,4017.220357236675
27,-621.2760629317822,1.0,0.9269183791302354,0.5,0.44816128333966737,1.0,1.210641628303057,0.5,0.24012106266458505,5e-05,0.000101,2444.639585487606
28,-1943.4324567156445,1.0,0.5900298166995931,0.5,0.2351454712771972,1.0,0.33226281217707343,0.5,0.42060580789482116,5e-05,0.000101,4288.961635112123
29,-3290.3937722439578,1.0,0.2585074714289851,0.5,0.3084112620988324,1.0,0.0001,0.5,0.0001,5e-05,0.00010025623692587128,3265.2030500985106
30,-464.08850488075825,1.0,0.982158148448304,0.5,0.2590165572503194,1.0,0.4644294492393817,0.5,0.20129726654517413,5e-05,0.000101,3537.969360401391
31,-616.0791344418162,1.0,0.7032827700184758,0.5,0.1450089935373765,1.0,0.9415178614653489,0.5,0.03625346713044731,5e-05,0.00010100000000000002,3113.732988852739
32,-518.7846401454792,1.0,0.11533201584687709,0.5,0.5373340785004285,1.0,0.0001,0.5,0.8327059586285236,5e-05,0.00020072256755888072,2865.5813405381277
33,-452.85004585306626,1.0,0.43578380544211054,0.5,0.44405597890950055,1.0,0.0001,0.5,0.6655206293123969,5e-05,0.00010100010119178333,3258.9250148279807
34,-436.77665792957,1.0,1.1002666550952318,0.5,0.27791579164703306,1.0,0.2935069535163309,0.5,0.2789738957668431,5e-05,0.000101,3737.5226657889834
35,-532.1143201699235,1.0,0.9487039775871843,0.5,0.4432013113445748,1.0,0.0001,0.5,0.743213059942006,5e-05,0.00010100001389013915,3233.1459261355585
36,-477.2158632525652,1.0,3.1398949357606925,0.5,0.4722107115831839,1.0,0.4554059011991386,0.5,0.4731283035442197,5e-05,0.000101,2691.408165361828
37,-1934.8373607540043,1.0,1.1877896606920157,0.5,0.8115027905363923,1.0,1.1911712235626741,0.5,0.0001,5e-05,0.00010100027930201449,1735.6327363737262
38,-417.44999369441734,1.0,0.37208035327602856,0.5,0.2211219318944939,1.0,0.5095106488261061,0.5,0.005810360492018197,5e-05,0.00015311177166056804,3707.088237314532
39,-360.7541522101397,1.0,0.8466228606909773,0.5,0.3638895392815467,1.0,0.546700406009063,0.5,0.27123565463174765,5e-05,0.00017829101933866835,3131.4695142113296
40,-714.238781201619,1.0,1.7078908750753323,0.5,0.21785341338044922,1.0,0.6323390986933285,0.5,0.15328004552081656,5e-05,0.000101,3208.5073145834704
41,-406.73477198680354,1.0,0.8092775740668673,0.5,0.47160304383230306,1.0,0.6457640403135306,0.5,0.28185160781903984,5e-05,0.000101,2765.9128372571035
42,-746.8925611187555,1.0,3.9899441627110392,0.5,0.6439139909947101,1.0,2.637637159946648,0.5,0.5525371131418365,5e-05,0.000101,1409.0444401065963
43,-428.6203405610873,1.0,0.26568727773215495,0.5,0.40127888688557545,1.0,0.00010000000000000002,0.5,0.5634373822226104,5e-05,0.00012416137965106795,3481.133239151389
44,-1817.7999723117912,1.0,0.320108585725033,0.5,1.3054740965221083,1.0,0.3552701942597661,0.5,0.2331549071527138,5e-05,0.000101,2493.5912698160614
45,-1803.5447140460087,1.0,1.226645956846073,0.5,1.7199136681457226,1.0,0.33112109318371574,0.5,1.9745281291054908,5e-05,0.000101,1199.4148514640306
46,-1062.8974883495655,1.0,0.6656497106752187,0.5,0.9596697988053281,1.0,0.4385296563438992,0.5,0.7868266016817431,5e-05,0.000101,1989.4570043377446
47,-922.2784317365566,1.0,0.3672842234555249,0.5,0.6262087765907006,1.0,0.34067435792387823,0.5,0.0001,5e-05,0.00010100000909542227,3663.884770611397
48,-963.9225920079044,1.0,1.7268065522306575,0.5,0.14439781374428187,1.0,1.6234408386344477,0.5,0.07856789286082529,5e-05,0.000101,2369.711640428696
49,-371.91664198910223,1.0,1.0812395878738668,0.5,0.33715374682956123,1.0,0.3576631141139736,0.5,0.33859881726097524,5e-05,0.00011891861835309005,3391.075218997996
50,-702.4187671878722,1.0,2.905265134447806,0.5,0.1864716136831195,1.0,0.5896490250352178,0.5,0.18576540074175754,5e-05,0.00018677428515800995,3547.704758245768
