rep,loglik,nu_true,nu_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-492.800257045382,1.0,1.9252043767723062,0.5,0.3061108412349885,1.0,0.03955035293484734,0.25,0.34306960666411723,5e-05,0.00011490587737840766,4109.987987006849
2,-637.9231368728089,1.0,1.0521329786320661,0.5,0.9744226836353528,1.0,1.2464504643415575,0.25,0.22588197193432455,5e-05,0.00010175,1885.3379698103033
3,-444.5846935398342,1.0,0.9578470605601469,0.5,0.2621159946932516,1.0,0.6706855832396448,0.25,0.08313234145654015,5e-05,0.000101,3016.0624674917067
4,-1654.281977764593,1.0,0.696168511688308,0.5,0.1433828866461267,1.0,0.39121764030430767,0.25,0.139678623550901,5e-05,0.00010099999999999999,4800.216643950864
5,-428.7277987553813,1.0,0.9475759990726471,0.5,0.43604277197123786,1.0,0.62038527566206,0.25,0.14390489978602736,5e-05,0.000101,2775.4076192552025
6,-818.0330297296242,1.0,0.6944741977811979,0.5,0.79310768715185,1.0,0.5310473027665389,0.25,0.12362416612758738,5e-05,0.000101,2580.926063822554
7,-974.7565427542079,1.0,2.122855782500085,0.5,1.3559780804703936,1.0,2.903151137835335,0.25,0.3017326537167258,5e-05,0.000101,1120.7408901563147
8,-406.9897936600396,1.0,0.43989662043713895,0.5,0.376126665669788,1.0,0.0001,0.25,0.4426657678201976,5e-05,0.00010100000401262826,3773.1631124151477
9,-365.795167377304,1.0,0.6085801958596322,0.5,0.4271025204772962,1.0,0.299113118818145,0.25,0.24639976088623314,5e-05,0.000101,3337.4353412107694
10,-674.4492636726244,1.0,0.8062601081586722,0.5,0.36259698682589386,1.0,0.3969256368328795,0.25,0.11809544432987015,5e-05,0.000101,3183.3921571896262
11,-269.5820183467943,1.0,3.8545890173936663,0.5,0.5614399620124745,1.0,0.755318906345355,0.25,0.5504388558003208,5e-05,0.0001427211786090123,2333.099309724488
12,-365.83815757795037,1.0,0.46438347039269917,0.5,0.7947065545707759,1.0,0.5597271604534348,0.25,0.0001,5e-05,0.00011738594673486303,3343.730968762114
13,-453.95864606172154,1.0,0.5221189180217126,0.5,0.3843097265654886,1.0,0.33210049469572445,0.25,0.29868397491698184,5e-05,0.000101,3547.1867144840876
14,-892.9344052530646,1.0,3.0543918996630945,0.5,0.2218101831969576,1.0,2.285073133988839,0.25,0.11422659869538185,5e-05,0.00010174999999999999,1748.339753597219
15,-280.57255186581637,1.0,1.1600486243450605,0.5,0.5045146814315395,1.0,0.47992667583541176,0.25,0.40804820075871473,5e-05,0.00016909701815747753,2809.4954648725425
16,-314.11188595173957,1.0,0.6421088312596354,0.5,0.36118466128233256,1.0,0.7576273358907089,0.25,0.03640887351859812,5e-05,0.00014765640635360262,2917.274512671655
17,-801.260243368347,1.0,0.44479324678783777,0.5,0.5922076361826527,1.0,0.7210533733915523,0.25,0.06679246381376815,5e-05,0.000101,3180.184236608903
18,-532.2024746977748,1.0,0.9611512159523975,0.5,0.20796317282715376,1.0,1.4472811428404815,0.25,0.02026665409510117,5e-05,0.000101,2229.9270201526056
19,-442.05477682911123,1.0,0.9462909961384036,0.5,0.22553745837449726,1.0,0.933420399208037,0.25,0.06995750556759694,5e-05,0.000101,2887.9759686172274
20,-283.3030929286605,1.0,1.6603454679111296,0.5,0.530186673734789,1.0,0.46324998087708125,0.25,0.5138013865926829,5e-05,0.000101,2703.3466951757796
21,-1758.0084499256923,1.0,0.9596164349546272,0.5,0.20187891724268203,1.0,0.8070213972220908,0.25,0.19946240213527433,5e-05,0.000101,3739.6840366096294
22,-351.3781251170949,1.0,1.6834081325341488,0.5,0.5801170303029469,1.0,0.3439569898377657,0.25,0.6727779012950277,5e-05,0.000101,2651.3959796869976
23,-275.2102526972817,1.0,1.3776437152996392,0.5,0.5324551612633865,1.0,0.5469467916091929,0.25,0.43451995419543354,5e-05,0.000101,2657.4614225800083
24,-873.297899091066,1.0,0.47625312144494625,0.5,0.8727970410970801,1.0,0.3197725660986404,0.25,0.3288800144114235,5e-05,0.000101,2564.308683452834
25,-287.1353710971914,1.0,2.9579117090137306,0.5,0.4696761443474985,1.0,0.31164893106684133,0.25,0.4849000616104975,5e-05,0.0001338827032396939,2961.3656257611174
26,-365.46618617629696,1.0,2.9426739287311516,0.5,0.5502795415415319,1.0,1.415391428871257,0.25,0.4076314585580091,5e-05,0.00010099999999999999,1951.424460272201
27,-362.1321330155898,1.0,3.4446777631330727,0.5,0.3773645331727279,1.0,0.6243594228800393,0.25,0.31492744803290557,5e-05,0.000101,2814.8474301889937
28,-1037.2201969096627,1.0,1.030618829163776,0.5,1.3604441636938174,1.0,1.0645337715309422,0.25,0.15947071788420158,5e-05,0.000101,1826.5137241185298
29,-346.76524386110236,1.0,0.9463854560522792,0.5,0.2687772121411834,1.0,0.9736495197442502,0.25,0.05457069917947575,5e-05,0.00013444348408592276,2630.0210162260046
30,-823.3681379919785,1.0,0.4136581825758759,0.5,0.19674556205421212,1.0,0.15836531183380761,0.25,0.13716340459099666,5e-05,0.000101,4693.339062090787
31,-280.05183113442416,1.0,1.3516870091386084,0.5,0.47227235212621466,1.0,0.8446701434214992,0.25,0.28022828013062645,5e-05,0.00010100000000000002,2533.191297149932
32,-968.5758508793567,1.0,0.2911850982296799,0.5,0.18992979052754685,1.0,0.484863922639248,0.25,0.0001,5e-05,0.00010100030951755204,4342.869817458522
33,-957.955204096242,1.0,3.2962155907172868,0.5,0.7654809212022448,1.0,3.904721100430138,0.25,0.22346988417681923,5e-05,0.000101,1005.3722434438398
34,-1078.1716581972737,1.0,0.40748414761280133,0.5,0.5156261498957254,1.0,0.0001,0.25,0.3531100323946119,5e-05,0.0001010009155458555,3238.430926486917
35,-361.2046696212839,1.0,0.6253418347830644,0.5,0.4430722047720794,1.0,0.06741931075503163,0.25,0.4935940908044466,5e-05,0.00014956687724338425,3405.3141798595193
36,-304.6432899872947,1.0,0.6474694222879495,0.5,0.39049113729583423,1.0,0.7042535746020693,0.25,0.05908684781145062,5e-05,0.000162707917498381,2963.9622519022773
37,-472.4150638317475,1.0,1.2729327544688211,0.5,0.1682110788723202,1.0,1.4331191478133307,0.25,0.027270653091369734,5e-05,0.00012305307956584673,2128.0917303250194
38,-335.6188293932919,1.0,0.5180013805902102,0.5,0.43170744637059916,1.0,0.5212690910314451,0.25,0.07731347994622051,5e-05,0.00013346594800299976,3260.316308144783
39,-473.92689826035536,1.0,0.5747758677740807,0.5,0.37068765203275095,1.0,0.6759831532222397,0.25,0.12671022953550024,5e-05,0.000101,3256.1419538528357
40,-670.2637393501509,1.0,1.7237425430007316,0.5,0.17053685047398862,1.0,1.63390397822295,0.25,0.0577605634322989,5e-05,0.00010100000000000002,2129.5313870543605
41,-267.55903692555125,1.0,1.581749675619421,0.5,0.5040241007866123,1.0,0.6337540864214565,0.25,0.40305591171277966,5e-05,0.00012924858821241724,2628.49483903468
42,-1341.2052133753991,1.0,0.4066604418914368,0.5,0.22938467493107748,1.0,0.00010000000000000002,0.25,0.14527613352850846,5e-05,0.00010099871428395136,4445.374723023905
43,-528.6158534814338,1.0,2.2701045387456964,0.5,0.2797741745861256,1.0,1.1856026836475047,0.25,0.16534110241068345,5e-05,0.000101,2431.944249560175
44,-1932.5017075464896,1.0,3.6963940597225373,0.5,0.18520112268923056,1.0,3.3293949360648103,0.25,0.1358956788265412,5e-05,0.000101,1599.8349482084946
