rep,loglik,nu_true,nu_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-159.24798066016172,1.0,0.8869325518541252,0.5,0.4561314261749812,1.0,0.8886834643827666,0.5,0.45881936549643465,0.1,0.11318099548466648,2683.376774146663
2,-159.2881620434721,1.0,1.0185432186951293,0.5,0.47270449251053787,1.0,0.896073805522963,0.5,0.5355858407350024,0.1,0.10801631706456842,2601.254982046794
3,-159.488136004618,1.0,1.575000428554288,0.5,0.5112550657723979,1.0,0.9076338682807581,0.5,0.7254199015107429,0.1,0.09830597866456253,2420.127725003308
4,-159.24845520382112,1.0,0.8996440548392595,0.5,0.4579233142430477,1.0,0.8891287462936087,0.5,0.46727743893982276,0.1,0.11257484908271168,2674.559198402317
5,-159.24999166946387,1.0,0.9075514506137683,0.5,0.45901705545047744,1.0,0.8887270633591544,0.5,0.47239539780003165,0.1,0.1120030833844929,2669.5260642042163
6,-159.24797332772874,1.0,0.8875577733797678,0.5,0.4562391416675122,1.0,0.8887492249529236,0.5,0.45924995680393743,0.1,0.11314801726989834,2682.864490606508
7,-159.656406146778,1.0,4.9834806424708065,0.5,0.55924923338224,1.0,0.9052031114835326,0.5,0.9767657569981117,0.1,0.08896732642932166,2220.5780677501407
8,-159.24806942143667,1.0,0.8852312572376504,0.5,0.45588930521752374,1.0,0.8888328433382966,0.5,0.4575779185828478,0.1,0.1132768184252417,2684.4555542909106
9,-159.60002212893335,1.0,2.5515401850211914,0.5,0.5381104985918274,1.0,0.9088862876125564,0.5,0.8644093225218317,0.1,0.09280763174674474,2304.8088970556796
10,-159.24803385555555,1.0,0.8931419208595673,0.5,0.4569932004444358,1.0,0.8892955902671307,0.5,0.46275237507586525,0.1,0.11289161167674139,2678.866897237224
11,-159.25238826276714,1.0,0.8608338407551062,0.5,0.4521984882749759,1.0,0.8873121474799751,0.5,0.44096823790753886,0.1,0.11467645207617719,2702.8457626976606
12,-159.24820213826507,1.0,0.8962439778715814,0.5,0.45742669012667947,1.0,0.8890062551353846,0.5,0.46504665343972434,0.1,0.11274921056676764,2676.956827520654
13,-159.60347490898204,1.0,2.6138491737865213,0.5,0.5389402668248061,1.0,0.907399995415433,0.5,0.8697496976470359,0.1,0.09261439101224918,2301.70570399263
14,-159.24799789248357,1.0,0.886788686422779,0.5,0.4560507268890344,1.0,0.8886148609530732,0.5,0.4586257277946136,0.1,0.11319529011217923,2683.66703456994
15,-159.24815457888496,1.0,0.8836855028084839,0.5,0.4556827940566194,1.0,0.887880374184059,0.5,0.45692031072416395,0.1,0.11328940840656834,2686.0053819551463
16,-159.25412185145103,1.0,0.9316089151915353,0.5,0.4621385076137016,1.0,0.8918770319812077,0.5,0.4864137140181414,0.1,0.11115980523837868,2652.771256849224
17,-159.24813975406323,1.0,0.8829674580989133,0.5,0.45555067716689995,1.0,0.8881754957360034,0.5,0.4563522527244159,0.1,0.11339038279246522,2686.4249001288117
18,-159.6728003809112,1.0,8.619169769905414,0.5,0.568843126295757,1.0,0.9035333390942352,0.5,1.0273895000782312,0.1,0.08736475949554051,2183.9453748297074
19,-159.2579686590896,1.0,0.9434207025104496,0.5,0.46351338422225175,1.0,0.8906641148747627,0.5,0.49407396285599964,0.1,0.11066514808455007,2646.6172542271797
20,-159.24822641227112,1.0,0.8974532883740803,0.5,0.4576229540483837,1.0,0.8898015204175478,0.5,0.4654661164410758,0.1,0.11268894475861041,2675.627598753651
21,-159.64482320808844,1.0,4.016841954506295,0.5,0.5538919899968763,1.0,0.9066263768783867,0.5,0.9480265202757033,0.1,0.0898779989199787,2241.3085834831786
22,-159.61328824225316,1.0,2.8174562453414835,0.5,0.5424193869650088,1.0,0.9092889426503639,0.5,0.8861075228353529,0.1,0.0919332424078812,2287.171047358774
23,-199.65348732228802,1.0,0.12402101916718698,0.5,0.43967179266212697,1.0,9.999999999999999e-05,0.5,1.0419419004295305,0.1,0.12630361354545053,3151.528806848382
24,-159.24846431144857,1.0,0.8999384930389845,0.5,0.45805481848288293,1.0,0.8899347729971394,0.5,0.46729277592465807,0.1,0.11258704054856729,2673.685188898069
25,-159.24806815961816,1.0,0.8852817435527861,0.5,0.4559013118256344,1.0,0.8886621720543415,0.5,0.4576960555035641,0.1,0.11326428284816006,2684.503058537047
26,-159.67028784596474,1.0,7.631434866429058,0.5,0.5671497406730536,1.0,0.9037421425049492,0.5,1.0183646932386177,0.1,0.08762684497475011,2190.409472139559
27,-159.2497629987788,1.0,0.8704007098444817,0.5,0.45395038219069717,1.0,0.8874527770302978,0.5,0.4482737469435625,0.1,0.11401767983440755,2695.037814443794
28,-159.24938368449858,1.0,0.8720812405200133,0.5,0.453937995202975,1.0,0.8876067227192382,0.5,0.4488543492688076,0.1,0.11392949007653558,2694.4195886115426
29,-159.5985876149499,1.0,2.525828042106828,0.5,0.5376337913456659,1.0,0.9085462024059706,0.5,0.862096121500106,0.1,0.09289096373573051,2306.8869921237256
30,-159.51287091460813,1.0,1.6999908949371065,0.5,0.5161350470331434,1.0,0.907639343153747,0.5,0.7511451145883156,0.1,0.09716691632483038,2398.2722944438387
31,-159.2482636905114,1.0,0.8815024428126702,0.5,0.4553363324910162,1.0,0.888389594464135,0.5,0.4551802994143493,0.1,0.11345301530390521,2687.3194950736947
32,-159.24828262283512,1.0,0.8980318346257594,0.5,0.4576929270296815,1.0,0.8891979785522915,0.5,0.4660757177662007,0.1,0.11262884731359032,2675.60074469723
33,-159.24836064885568,1.0,0.8798981731208713,0.5,0.45508768142108935,1.0,0.8880856890998539,0.5,0.4542581031722137,0.1,0.11354578016084162,2688.6563889043805
34,-159.64374363772242,1.0,3.9503378488131555,0.5,0.5537571952899836,1.0,0.9076455909593711,0.5,0.9463067184330103,0.1,0.08994569150106999,2241.9446851063444
35,-159.25535753908133,1.0,0.854461906614785,0.5,0.45111228742003245,1.0,0.8838974383777829,0.5,0.4374432631357173,0.1,0.11498119342734744,2709.7340197791077
36,-159.24796408391825,1.0,0.8906923651099509,0.5,0.4567095366907646,1.0,0.8891457063498008,0.5,0.4612839106419779,0.1,0.11300187259665373,2680.4481349019156
37,-159.30993082273415,1.0,1.0649210413740413,0.5,0.47715887080033687,1.0,0.8970815144541767,0.5,0.5581591149752133,0.1,0.10669413578192019,2579.2185168799647
38,-159.45374552851933,1.0,1.4316881167816233,0.5,0.5049555791538862,1.0,0.9077852891665372,0.5,0.6911849645322612,0.1,0.09988960350857803,2449.3046773711467
39,-159.24826775806957,1.0,0.8820506144490929,0.5,0.4554050550271477,1.0,0.8886844718580128,0.5,0.45538239428264754,0.1,0.11342020486969207,2686.7979904984027
40,-159.66178925617126,1.0,5.6909041900318975,0.5,0.5620954465181404,1.0,0.9045334687918668,0.5,0.9918069763724413,0.1,0.08848797085163082,2209.7481357507736
41,-159.62464263410024,1.0,3.1282028068921743,0.5,0.5460807153521211,1.0,0.9077575301041252,0.5,0.9066416812500275,0.1,0.0912957756216131,2272.4654445040724
