rep,loglik,nu_true,nu_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-1365.4723999714952,1.0,0.7510327219299334,0.5,0.3833128121634534,1.0,0.9671065493638212,0.25,0.08460559690920227,0.001,0.00026339122067136033,275454.5175820617
2,-319.0862718500648,1.0,1.0409455195787791,0.5,0.5060160012890875,1.0,0.9818971723975396,0.25,0.2780331504004363,0.001,0.0005481855255218925,250193.58798550896
3,-11139.28303921299,1.0,0.526051935197486,0.5,2.135644108746309,1.0,0.796176230783487,0.25,0.0001,0.001,0.00010392047941761561,303820.200399534
4,-642.750697443953,1.0,1.0850223744014103,0.5,0.5014089761219331,1.0,0.8772078727974704,0.25,0.3230762868404954,0.001,0.00026719154976558577,257004.60918799517
5,-3276.8276213517893,1.0,0.7089655186145126,0.5,0.22342813827185626,1.0,1.023751070202676,0.25,0.018884562017118977,0.001,0.0010433894965747724,273655.284284262
6,-286.7804961552574,1.0,0.9949909013373497,0.5,0.4940637146383783,1.0,1.0102782710468532,0.25,0.23942951850169417,0.001,0.0001,251078.65123961677
7,-302.3942668694617,1.0,1.0379091193287935,0.5,0.5052771269543336,1.0,1.0080991829687782,0.25,0.2656152845402998,0.001,0.0006211895541633734,248478.8130820424
8,-478.6561951441872,1.0,1.213027256208957,0.5,0.5354619520859821,1.0,0.9658264378539337,0.25,0.3647939936829926,0.001,0.0002468219586316713,242645.1325610377
9,-293.0388279791987,1.0,0.9893982193415597,0.5,0.49352580568009535,1.0,1.0156468616734031,0.25,0.23594714259195196,0.001,0.001321104856560078,250991.83708648823
10,-286.7806454963138,1.0,0.9950648062354235,0.5,0.4940952074773631,1.0,1.0102375450716683,0.25,0.23949832003547555,0.001,0.0001,251075.23528964736
11,-289.20223529459327,1.0,0.9922477421751519,0.5,0.4938117617064332,1.0,1.013937463850146,0.25,0.23740320486775984,0.001,0.000713755037485294,250961.39960470263
12,-289.96737988455425,1.0,0.9857889806617234,0.5,0.4920182567811164,1.0,1.0176261315032022,0.25,0.232396085818672,0.001,0.000649631788179931,251136.89615515817
13,-286.78058447431613,1.0,0.9950400233685253,0.5,0.49408820882018667,1.0,1.0102610145638673,0.25,0.23947120447662917,0.001,0.0001,251074.93348305864
14,-11044.815504547867,1.0,0.4117521970044895,0.5,0.5286859029263641,1.0,0.00010000000000000002,0.25,0.8068409523098852,0.001,0.0023970839579666166,302665.32505397353
15,-306.3975921227502,1.0,0.9863791512668549,0.5,0.4935001580190627,1.0,1.021693247493753,0.25,0.2337157129513509,0.001,0.0026561337799931133,250719.31686628063
16,-291.2390921425831,1.0,0.9883541627532273,0.5,0.49279287196895455,1.0,1.0146821001201338,0.25,0.23506724950636193,0.001,0.001047060149556898,251176.19764826965
17,-288.33145077597146,1.0,0.9925008923570825,0.5,0.4935930862542018,1.0,1.0115413873748333,0.25,0.23794080239743245,0.001,0.0005272060266507569,251143.37327281147
18,-1380.224171170983,1.0,8.011735593224081,0.5,0.6122304873510349,1.0,0.7654938718605592,0.25,0.7795241258140374,0.001,0.0012106311613204219,223016.88234088136
19,-1364.1101688243507,1.0,0.7881565423473513,0.5,0.47642049953746174,1.0,0.8235891263281436,0.25,0.2167426211468098,0.001,0.000567029634875445,276249.7987812295
20,-1271.0437720232767,1.0,4.427213750384904,0.5,0.6023118494731886,1.0,0.7828059353742182,0.25,0.7255131530724759,0.001,0.0003137003234364862,226080.05614202394
21,-898.3997436509926,1.0,0.8241416065520765,0.5,0.4165218954489749,1.0,1.0414662042463914,0.25,0.1060717474611191,0.001,0.0007788764989599445,261919.10885978854
22,-11046.404942403646,1.0,0.4252751484086357,0.5,0.528368180528035,1.0,0.0001,0.25,0.8049525768674076,0.001,0.0018743179750556102,302841.1662290396
