rep,loglik,nu_true,nu_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-160.80868513458898,1.0,1.0601418859933334,0.5,0.49829084967499077,1.0,0.9927585040358904,0.25,0.2716598042414627,0.1,0.09934535765657705,2466.576868815228
2,-160.80869803747277,1.0,1.0606818610371032,0.5,0.49838773107569245,1.0,0.9927494505666855,0.25,0.2719154169244506,0.1,0.09928273914391367,2466.3025529838305
3,-160.808682864183,1.0,1.0601519450566563,0.5,0.49833331833244016,1.0,0.9927729009015075,0.25,0.27169402115003993,0.1,0.09933325025805498,2466.5015756722955
4,-160.8088379567257,1.0,1.0580146179566323,0.5,0.4978998369214835,1.0,0.9931396858013567,0.25,0.2703768299480359,0.1,0.09952748146783204,2467.333378328363
5,-160.8086892925075,1.0,1.0602996488634882,0.5,0.4983277832871455,1.0,0.9927566507710587,0.25,0.27174431473839866,0.1,0.09934199672177976,2466.4855784700535
6,-160.8088026808927,1.0,1.0582054630513333,0.5,0.49792365378154957,1.0,0.9930052962384343,0.25,0.2705351861617112,0.1,0.09952846640949403,2467.364482092577
7,-160.8096043481625,1.0,1.0638616776521395,0.5,0.4989843103774393,1.0,0.9920707510444932,0.25,0.27370530057715126,0.1,0.09881181490516064,2465.117975607606
8,-160.80946229596407,1.0,1.0642448477693878,0.5,0.4991766644140581,1.0,0.9926426130346,0.25,0.2739245552646829,0.1,0.09893034770105791,2464.418305015689
9,-160.8086859347813,1.0,1.060190625634602,0.5,0.4983091875584963,1.0,0.9928091331940567,0.25,0.271686637414524,0.1,0.09932973157432579,2466.509687576234
10,-160.81151631084128,1.0,1.0671609890295684,0.5,0.49995339369648645,1.0,0.9922435229949772,0.25,0.2760136667536851,0.1,0.09868180969542956,2463.0433365165286
11,-160.8087049811575,1.0,1.0597530184802086,0.5,0.4983399486886465,1.0,0.9928027774745156,0.25,0.2715427708025632,0.1,0.09936290947252657,2466.5597928874267
12,-160.80870473590977,1.0,1.0600779032801566,0.5,0.4983160039323779,1.0,0.9930682097693158,0.25,0.2715604579426701,0.1,0.0993969179208974,2466.3412877741116
13,-160.8089316634248,1.0,1.0575959328556224,0.5,0.4978259246013015,1.0,0.992975074335763,0.25,0.27014361614290366,0.1,0.0995766838417299,2467.6075363269524
14,-160.8087338936828,1.0,1.0612399111039212,0.5,0.49851980029823595,1.0,0.9929710214379993,0.25,0.2721194361164256,0.1,0.09924450930306115,2465.804064055798
15,-160.8086944622026,1.0,1.0601334989568663,0.5,0.4982750851400535,1.0,0.9930123289803788,0.25,0.27153958472318346,0.1,0.09934679465115986,2466.4112979948727
16,-160.8108681209917,1.0,1.063833222066782,0.5,0.49911309218174316,1.0,0.9933377837211903,0.25,0.2738168687141662,0.1,0.09943912949904184,2464.3301952370603
17,-160.80904115936767,1.0,1.0614333614767753,0.5,0.49859155752075723,1.0,0.9923455527399182,0.25,0.2724580652830792,0.1,0.09930690993753327,2466.0946814848085
18,-160.80920342844547,1.0,1.0625861408121313,0.5,0.4989424940107964,1.0,0.992379104556823,0.25,0.2732839584837092,0.1,0.0991120675411141,2465.365805180053
19,-160.8086946619327,1.0,1.0600401519725222,0.5,0.49832768390512683,1.0,0.9930358812120211,0.25,0.2715548913608494,0.1,0.09934928422841313,2466.3465138519596
20,-160.80874688153372,1.0,1.0590924272880458,0.5,0.4982020534185554,1.0,0.9925666934908479,0.25,0.271302201680664,0.1,0.09941964347264354,2467.1011533794904
21,-160.80881934351623,1.0,1.0581596141446212,0.5,0.4979064499145985,1.0,0.9930530366333532,0.25,0.27050253411959113,0.1,0.09956852325002964,2467.3764954235508
22,-160.8093819729466,1.0,1.0593129205820193,0.5,0.49798665312954415,1.0,0.9946843954096586,0.25,0.2705005771561596,0.1,0.09966724146215865,2465.887755487933
23,-160.80888932494622,1.0,1.057616479088219,0.5,0.4977900989239874,1.0,0.9930962099833159,0.25,0.27018783714086536,0.1,0.09963050500589585,2467.6387173358676
24,-160.80875848798365,1.0,1.060917797574209,0.5,0.4984922330036667,1.0,0.9927033909279552,0.25,0.27207754292167063,0.1,0.09918200969572968,2466.1092234818357
25,-160.80896173410116,1.0,1.0624885886269246,0.5,0.49880202294917025,1.0,0.993599532459121,0.25,0.2726538606305908,0.1,0.09916160694834472,2464.6988397616446
26,-160.80868220790902,1.0,1.060091618900121,0.5,0.49831070977500747,1.0,0.9928100058309984,0.25,0.27162963164892556,0.1,0.09933803547190737,2466.5153981706208
27,-160.80873448948125,1.0,1.0607446544507784,0.5,0.4983942698611972,1.0,0.9926446902118485,0.25,0.27192150480762,0.1,0.09921697374199662,2466.3152591551843
28,-160.80868331024055,1.0,1.0602553488976338,0.5,0.49833886656607124,1.0,0.9927478751979311,0.25,0.27173316369472383,0.1,0.09932146575949838,2466.4803828961117
29,-160.80870912159205,1.0,1.0596597833334205,0.5,0.49822661207918795,1.0,0.9925653370961998,0.25,0.27150279383282266,0.1,0.09939476450173991,2466.921294961703
30,-160.8145867876769,1.0,1.0508442329027698,0.5,0.49636346923967456,1.0,0.9947716797140587,0.25,0.2661785866115647,0.1,0.10083379900453901,2470.247494293859
31,-160.80919739300353,1.0,1.0581041614981785,0.5,0.4978910151665113,1.0,0.9926836320040964,0.25,0.2707692861758052,0.1,0.09971482182891282,2467.7844942072284
32,-160.80886876339832,1.0,1.0579055145006366,0.5,0.49792357838744306,1.0,0.9924203190531043,0.25,0.2706174315514555,0.1,0.09943894610581687,2467.839525310942
33,-160.81001386584094,1.0,1.0541584736135838,0.5,0.49710862916867055,1.0,0.993284068417823,0.25,0.2683157055175798,0.1,0.09997691886431125,2469.3105981271997
34,-160.80868836868234,1.0,1.0600195741265126,0.5,0.49828047521714813,1.0,0.9929447163757209,0.25,0.2715267459627012,0.1,0.09935891906817347,2466.4776701414653
35,-160.80969371439215,1.0,1.064498390219484,0.5,0.49941862723539443,1.0,0.9927585922271147,0.25,0.27422200552510906,0.1,0.09892525968514704,2463.9485910071044
36,-160.8087021670359,1.0,1.0606969870943992,0.5,0.4984450541895885,1.0,0.9928123788993267,0.25,0.27194146473346786,0.1,0.09925847158159785,2466.1659429878086
37,-160.8129363103132,1.0,1.0501483189631406,0.5,0.4966221658390685,1.0,0.9943258432205319,0.25,0.2661450431550783,0.1,0.10030803704098083,2470.2434516574863
38,-160.80967922558187,1.0,1.0551689149995271,0.5,0.4971108738729239,1.0,0.9924039093069746,0.25,0.2689121347142604,0.1,0.09986103952666228,2469.65408305465
39,-160.81006615497165,1.0,1.0539963345375027,0.5,0.4969750819278722,1.0,0.9930300644129851,0.25,0.2681924078753364,0.1,0.09993161443832346,2469.6979741116475
40,-160.81274651012365,1.0,1.0556025446686692,0.5,0.49800905350170055,1.0,0.9913851265579495,0.25,0.26988401055775957,0.1,0.09901097381741147,2468.7627751877303
41,-160.808907114467,1.0,1.0576003901636541,0.5,0.4977337244355644,1.0,0.993102276510372,0.25,0.27009072832327624,0.1,0.09959102621759863,2467.6936788673843
42,-160.80878438915613,1.0,1.0586494970604068,0.5,0.49805247697050997,1.0,0.9928964703034804,0.25,0.27085884533912924,0.1,0.09948475389530624,2467.160525131862
43,-160.80870359091335,1.0,1.0605389691714353,0.5,0.49841771300124316,1.0,0.9931484116945847,0.25,0.2717542861473665,0.1,0.09930646777893193,2466.0097522230526
44,-160.82371710797037,1.0,1.0815162084579313,0.5,0.5024960892347551,1.0,0.9936955454698095,0.25,0.2823832155841961,0.1,0.0974707271333293,2454.814204859367
45,-265.4921728963516,1.0,0.44163173652986515,0.5,0.5342324408768334,1.0,0.0001,0.25,0.8964114194440812,0.1,0.09977240178916472,2941.7068903897534
46,-160.80882980791756,1.0,1.0581487416224442,0.5,0.4978925658430762,1.0,0.992405756378734,0.25,0.27069596650052186,0.1,0.09948986612804522,2467.8479662281193
47,-160.80878784994076,1.0,1.058539547559756,0.5,0.49802324083970473,1.0,0.9927939115541158,0.25,0.2708223122181512,0.1,0.09945874965212335,2467.296118616295
48,-160.8087663026776,1.0,1.061421196045177,0.5,0.4985092930176488,1.0,0.9929556268464923,0.25,0.2721920395502682,0.1,0.09919084244746851,2465.79503469599
49,-160.80868640509266,1.0,1.0604237829223402,0.5,0.4983566973419511,1.0,0.9928020342561633,0.25,0.27179502291518326,0.1,0.09931914838180333,2466.380579279921
50,-160.80868387362176,1.0,1.0601339802969525,0.5,0.4983178902381026,1.0,0.9927048187838948,0.25,0.271686586731043,0.1,0.0993225399793657,2466.5692654012582
