loglik,nu0,nuBot,T1,T2,misid,theta
-616.113921994179,27.032495078883997,0.19991024687643458,2.052808995260139,0.5245642477150356,0.014343662951077292,5427.178883646165
-615.9850730004403,58.655510066780096,0.2042987739786325,2.1110640464669705,0.5415008787217983,0.014679542617472275,5314.910434957772
-616.0782963744145,31.38470454885108,0.20309772843979887,2.0933251309003915,0.5344000149117983,0.014877325877075602,5351.07034418737
-759.520294465076,5.180738238693834,0.19399976954467157,2.3423731951447975,0.4082193321745043,0.016775581250438744,5042.029786102252
-616.0380502928125,39.04029891864833,0.20313480141929638,2.09324470977546,0.5361766896415273,0.014679318618665416,5348.636521371102
-616.118115878271,26.09259566167152,0.20163058344087081,2.074507062831357,0.5287725812632169,0.014744880517582137,5387.55005774881
-616.0857627504464,30.177343952073468,0.2024360774391243,2.0835459516414194,0.5323440499039832,0.014812715653511844,5368.601570803352
-616.069758011759,32.57624831275556,0.20256731721271823,2.0863323175621136,0.5332971014515651,0.014719061669265817,5363.188472657829
-616.1137190411988,26.555821228032574,0.20133404417206355,2.0697947313394,0.5282057704306328,0.014647997802131253,5395.490645305685
-616.1173103774247,26.26129379932293,0.20157299298399636,2.071510854708056,0.5287574840891345,0.014792030201749311,5391.821515651942
-650.81589253031,2.9570842485596724,0.18666704413147298,2.317283464231854,0.3885084571611754,0.01245675277647328,5237.611027137688
-615.9876686773837,57.16435808780582,0.20439730050324662,2.110177476371463,0.5417743338399825,0.014699583778314014,5315.701693530959
-616.0947801257287,28.86197627560486,0.20210734834872512,2.0806740804206725,0.5309945199423511,0.014744248386397235,5374.983440847928
-767.0159919210628,4.794930615398648,0.17636735950301202,1.6955015547009775,0.38368987953737427,0.012599774727489006,6089.4839264223265
-615.9626430394944,74.73629512974034,0.20546742179572558,2.1256692616431,0.5457331344863776,0.014848635142125734,5287.536084102078
-892.4947942548519,3.674277935152684,0.2168597861040149,1.8335675506796965,0.4466834102146329,0.015144013727199998,5586.26583338917
-615.9765622260854,63.839528547115684,0.2048600159475515,2.1174087225273297,0.5435103133860562,0.0147762694840923,5302.819640501523
-616.0619308847856,35.69285244195006,0.20506031621587997,2.120775069493207,0.5406171402435016,0.015300518323457789,5301.733402414696
-682.8959597479161,2.983745583851352,0.2281811658520339,2.0313813713001543,0.49598453886238075,0.012997745304277103,5350.699982837202
-616.107784306944,27.381943890982797,0.2023535538965799,2.0835160542993743,0.5311781719298478,0.014895952233058006,5370.37578141514
-616.1102656709818,26.964997593588993,0.20177596794448666,2.0748076136405205,0.5295442959842713,0.014697056489152862,5385.792973964628
-616.0433818591387,37.77915579467229,0.20306868719749638,2.093204967965709,0.5357556316068925,0.014729560109709203,5349.436398571807
-622.6339309092652,4.390896651255041,0.20673173194384326,1.9543791164567823,0.4993432253247519,0.01653424651884638,5585.048372896653
