rep,loglik,nu0_true,nu0_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,theta
1,-281.80977665609953,1.0,0.4758269399720522,0.25,0.2107619000322869,1.0,0.8604395262102067,0.5,0.2862223374206878,291763.64086281526
2,-281.8093821684015,1.0,0.4769039370114699,0.25,0.21089047037549255,1.0,0.8608644813901367,0.5,0.2869541346283493,291606.6126293939
3,-281.80939366354505,1.0,0.4768163087999171,0.25,0.21088061052874968,1.0,0.8608565696712814,0.5,0.2868866124382757,291616.942115847
4,-281.87198686784905,1.0,0.4914588460185834,0.25,0.21257930280942416,1.0,0.8666237940070042,0.5,0.2965824862652645,289537.7082570184
5,-281.80938634813083,1.0,0.476764228333995,0.25,0.2108736245939866,1.0,0.8607968737664201,0.5,0.286863839754997,291628.0431803735
6,-281.8249349382331,1.0,0.470293777297545,0.25,0.2100961806991816,1.0,0.8581719128876927,0.5,0.28244936656204717,292584.63688604144
7,-293.52021826349755,1.0,3.6681423345645614,0.25,0.29412502155923503,1.0,1.2269932435052076,0.5,0.734524604536927,211520.5690886464
8,-281.8158134037494,1.0,0.48134274464796956,0.25,0.21141500939789315,1.0,0.862617647337568,0.5,0.28993783860437083,290965.2396139575
9,-289.9679953021887,1.0,1.142382454415443,0.25,0.25460249347720787,1.0,1.0420247895129964,0.5,0.5264306687451648,243879.91036590686
10,-281.80955567607907,1.0,0.4761908912520089,0.25,0.2108056483203618,1.0,0.8605889603311396,0.5,0.28646897966573304,291709.9380423909
11,-281.8093854883082,1.0,0.47695992958054617,0.25,0.21089542525049776,1.0,0.8608802857472851,0.5,0.2869915758721374,291599.80171940033
12,-281.8093973558316,1.0,0.47665451041819523,0.25,0.2108595913025991,1.0,0.8607540383883191,0.5,0.28678691694691194,291644.41672773194
13,-281.80951373894095,1.0,0.4774864342663966,0.25,0.2109607573410828,1.0,0.8610874511695765,0.5,0.28735475960097545,291522.072512246
14,-281.80943210069654,1.0,0.47726898136355533,0.25,0.2109331596136915,1.0,0.8610148939983795,0.5,0.28719822945280593,291553.3986682797
15,-281.8094276099646,1.0,0.47697750321659965,0.25,0.21089857444592208,1.0,0.860898428827528,0.5,0.287007774023202,291595.9590398013
16,-281.8093909341196,1.0,0.47703325883471537,0.25,0.210905562914441,1.0,0.8609178934300419,0.5,0.28703978416484605,291587.7498141307
17,-281.8093838047689,1.0,0.47688012399370544,0.25,0.21088668257172902,1.0,0.860848311302777,0.5,0.2869373618846371,291611.0515201181
18,-281.80950470917196,1.0,0.47638074403463576,0.25,0.21083353684303402,1.0,0.8606734184750542,0.5,0.2866041566813628,291678.9791797467
19,-290.9709496205742,1.0,1.386686136307191,0.25,0.2628745857948212,1.0,1.0803178121824555,0.5,0.5701638643274899,236348.25898180853
20,-281.8095057466153,1.0,0.4774938007906353,0.25,0.21096000077516439,1.0,0.8611063270665582,0.5,0.2873498700016857,291520.47679911676
21,-294.00945012072407,1.0,5.736649725767515,0.25,0.3031302809129808,1.0,1.269794824288097,0.5,0.7818257326795787,205275.2871561911
22,-281.8093853526234,1.0,0.4767930433325311,0.25,0.21087813544345038,1.0,0.8608247225078511,0.5,0.2868796015140249,291622.0119070426
23,-281.80938856881676,1.0,0.47683766968931707,0.25,0.2108816540042806,1.0,0.8608135031149863,0.5,0.28691614124737524,291618.68675581407
24,-281.80940245075817,1.0,0.4771136043544661,0.25,0.21091502651900362,1.0,0.8609612347704931,0.5,0.2870905358593137,291575.1920947522
25,-293.4766971761901,1.0,3.5562397786786795,0.25,0.2933693316012304,1.0,1.2233866594937801,0.5,0.7306104387480622,212059.9233403266
26,-281.8093908902265,1.0,0.47701328726421205,0.25,0.21090251707064206,1.0,0.8608933888332142,0.5,0.2870316760788479,291592.32434884476
27,-281.8093830898597,1.0,0.47691449849316525,0.25,0.21089056852045382,1.0,0.8608685080340189,0.5,0.28696023633539836,291605.6614787062
28,-294.3681906766042,1.0,10.001655552432053,0.25,0.3105924219517354,1.0,1.3047962540561469,0.5,0.8213664020585689,200378.1213541643
29,-2570.8955925554965,1.0,0.22365316441655725,0.25,0.0542690601962694,1.0,0.7224798621281143,0.5,0.002493418523405037,357992.3325956493
30,-281.809391403247,1.0,0.477023450307159,0.25,0.21090247142260346,1.0,0.860910801657114,0.5,0.2870313161020211,291590.3652975961
31,-281.8103806752979,1.0,0.4752379385556344,0.25,0.21069373338908723,1.0,0.8602156200463917,0.5,0.2858156779540776,291847.7918150822
32,-281.8094289233286,1.0,0.4772515720191158,0.25,0.21092993516060843,1.0,0.8610057069254029,0.5,0.28718500225195853,291556.6638512229
33,-281.87343191528,1.0,0.4916391379722344,0.25,0.21260533183451757,1.0,0.8667571467972289,0.5,0.2966934564244277,289505.1668805896
34,-281.8100285761411,1.0,0.47820318691952607,0.25,0.2110446389885436,1.0,0.861434798881387,0.5,0.28780565745808767,291413.30457574286
35,-281.8095083602884,1.0,0.47743809902933704,0.25,0.2109525726446988,1.0,0.8611226544548269,0.5,0.2872969401363266,291525.86933888606
36,-292.88804547069867,1.0,2.5392638366075517,0.25,0.2843173189908147,1.0,1.1806964132914703,0.5,0.6829502194248668,218750.68545352595
37,-292.8369629015406,1.0,2.4791120537809412,0.25,0.2836317174754825,1.0,1.1776459637469188,0.5,0.6792110029210323,219271.04404741083
38,-282.0062899438508,1.0,0.5035984349670096,0.25,0.21393022722775756,1.0,0.8708331129031307,0.5,0.30447826186362764,287928.2768999832
39,-281.8095119976115,1.0,0.47750775773059323,0.25,0.2109613731444238,1.0,0.8611165015479592,0.5,0.28735763887824073,291518.2214253314
40,-292.7235827162549,1.0,2.3574161493279964,0.25,0.2820374616905179,1.0,1.1700400024376842,0.5,0.6709853765522594,220495.07132504781
41,-290.9944903468986,1.0,1.392282761046518,0.25,0.26300762700751773,1.0,1.0805834608475111,0.5,0.5711224046889816,236244.5854839253
42,-281.80952641388103,1.0,0.47751944105575633,0.25,0.21096570959484973,1.0,0.8611233172551833,0.5,0.28737013620970053,291514.9379433172
43,-281.8097524276018,1.0,0.4758577895741591,0.25,0.21076607062621924,1.0,0.8604241225182362,0.5,0.28625485595922123,291761.1390857275
44,-281.80968930157815,1.0,0.47734171851977236,0.25,0.21094511864339208,1.0,0.8610290596143351,0.5,0.28727347424386895,291542.6957146015
45,-281.81118306519056,1.0,0.47461281968007935,0.25,0.21061683516800495,1.0,0.8599558375958942,0.5,0.2853953816397712,291941.42704677355
46,-281.8093984974166,1.0,0.47709743139182503,0.25,0.21091208073558743,1.0,0.8609432631342719,0.5,0.2870822492084616,291578.97131355596
47,-281.8150015786223,1.0,0.4810269083818281,0.25,0.21137531588410569,1.0,0.8624538995204237,0.5,0.2897401149146487,291015.05370276305
48,-281.8095818505153,1.0,0.47614874700437815,0.25,0.2108003358240241,1.0,0.8605719649096656,0.5,0.28643735365998,291716.2012855565
49,-281.8100427612262,1.0,0.4755163956067984,0.25,0.2107221966797734,1.0,0.8602920422416748,0.5,0.28601359017070865,291812.2127976626
50,-281.96495161558596,1.0,0.5008417214300461,0.25,0.21363625639219344,1.0,0.8705586362111243,0.5,0.30248489443439047,288230.69950538117
