rep,loglik,nu0_true,nu0_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,theta
1,-263.5501896257201,1.0,0.7055523096814563,0.25,0.21736898201492436,1.0,0.9834613051594231,0.25,0.15128716934014086,52713.36854325975
2,-263.55018313535584,1.0,0.705528473328931,0.25,0.21737858136084595,1.0,0.9833884473922332,0.25,0.15129400073244814,52714.09178029689
3,-263.5501493383035,1.0,0.7054538044936138,0.25,0.21735187875311113,1.0,0.9834308816210767,0.25,0.15123616402480683,52714.58576959457
4,-263.5501403951207,1.0,0.7054918608578299,0.25,0.21735735214448723,1.0,0.983460860332005,0.25,0.15125061086828132,52713.763980666765
5,-263.5501489575581,1.0,0.7054380677051191,0.25,0.21735460780419633,1.0,0.9834414261485164,0.25,0.15123447215910527,52714.41147642119
6,-263.5501411746277,1.0,0.7055742519448032,0.25,0.2173730769802216,1.0,0.9834762948122987,0.25,0.1512857106038603,52712.39816070537
7,-2567.3696317193,1.0,0.2507851480902228,0.25,0.0033349175489151557,1.0,0.4825744417958849,0.25,0.00016843644182295937,75386.66345026049
8,-263.55014858487175,1.0,0.7056056671243607,0.25,0.21737491102893858,1.0,0.9834863159680715,0.25,0.1512939192036866,52711.9608515791
9,-263.5501432613355,1.0,0.7054849654746476,0.25,0.2173612303343077,1.0,0.9834681236592714,0.25,0.15124845475444348,52713.35756599616
10,-263.55013677385386,1.0,0.7055254534513314,0.25,0.2173638393554327,1.0,0.9834642895857989,0.25,0.1512649485916104,52713.23532073162
11,-263.55017193906406,1.0,0.7053789364111441,0.25,0.21734296051211663,1.0,0.983362092205305,0.25,0.1512207801151792,52716.7435063608
12,-263.55014780543115,1.0,0.705487973961636,0.25,0.21736708758331236,1.0,0.9834524777751178,0.25,0.15125718028440385,52713.37039457166
13,-263.55013859366636,1.0,0.7054932913587104,0.25,0.21736171741842653,1.0,0.9834542892367845,0.25,0.1512559086362002,52713.67310413158
14,-263.5509401735135,1.0,0.704892939636905,0.25,0.2172507780669286,1.0,0.9832582345860928,0.25,0.1510248532862587,52725.39815950341
15,-263.55014166738056,1.0,0.7055013793271229,0.25,0.21736059195153892,1.0,0.9834536836423932,0.25,0.1512542568243501,52713.56818547248
16,-263.5502302432001,1.0,0.7052660185273032,0.25,0.2173328116028565,1.0,0.983342410749902,0.25,0.15118020459120468,52717.93743163384
17,-263.55016529094746,1.0,0.7053936122770901,0.25,0.2173406520573924,1.0,0.9833903427261139,0.25,0.151218975949381,52716.285489998525
18,-263.55014362050497,1.0,0.7055558127052332,0.25,0.2173703217875584,1.0,0.9834717796955879,0.25,0.1512813802234742,52712.80818088292
19,-263.55013940373465,1.0,0.7055247082973612,0.25,0.2173635587432894,1.0,0.9834441157958657,0.25,0.15126762624108747,52713.63009180529
20,-263.55013719497174,1.0,0.7055120003291343,0.25,0.2173621965275257,1.0,0.9834490411844722,0.25,0.1512626771952087,52713.68267949313
21,-263.55022567121796,1.0,0.7054101765617136,0.25,0.21734074733993464,1.0,0.9834110097283754,0.25,0.15122928197228566,52716.2200900257
22,-263.55014837433555,1.0,0.7056015107831406,0.25,0.21737932288449363,1.0,0.9834820560762091,0.25,0.15129875394094047,52711.9125568186
23,-263.55013680447655,1.0,0.7055218543263082,0.25,0.21736473633012326,1.0,0.9834657007365485,0.25,0.15126443112960203,52713.17739627621
24,-263.5501524423157,1.0,0.7054774804050272,0.25,0.21736776618545417,1.0,0.9834382824722921,0.25,0.151257583008693,52713.67253248615
25,-263.5505442448498,1.0,0.705093191657843,0.25,0.21727093843051182,1.0,0.9833009869840846,0.25,0.15108035116377988,52722.256883848066
