rep,loglik,nu0_true,nu0_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,theta
1,-136.46701523807596,1.0,0.5311156930128306,0.25,0.2050301208956966,1.0,0.9746784944943647,0.5,0.2716662068477719,2831.4567289568367
2,-136.46786541161305,1.0,0.5074046612611179,0.25,0.20221591558400598,1.0,0.9610294368778014,0.5,0.25832952660754693,2865.792946875435
3,-136.55928269837182,1.0,0.8540149483186741,0.25,0.23235398127928386,1.0,1.1232714520680358,0.5,0.401614424173329,2519.939528830491
4,-136.64842002090083,1.0,6.483967444448564,0.25,0.31035361904555975,1.0,1.5727694857245813,0.5,0.7764445491202915,1899.715702744081
5,-136.63988078636007,1.0,2.2539862019019354,0.25,0.27872375023105633,1.0,1.3858437918731439,0.5,0.6246484138662326,2113.388830029371
6,-136.6480817386761,1.0,4.4431431928674305,0.25,0.3014053080199712,1.0,1.5198721936616424,0.5,0.7332532485129042,1955.8051017396065
7,-136.4677671930479,1.0,0.5076569444839902,0.25,0.2022896818000083,1.0,0.9613568329584578,0.5,0.2585200669902945,2865.084781835584
8,-136.46836648636398,1.0,0.5046084938189265,0.25,0.20189625982609988,1.0,0.9600261154533042,0.5,0.25660654571772507,2869.3791804551015
9,-136.64143512100102,1.0,2.390824453843433,0.25,0.2809095215095183,1.0,1.398167821094769,0.5,0.635542600889789,2097.2323535908367
10,-136.6390178023919,1.0,2.1868029376132148,0.25,0.27752598190861044,1.0,1.3794427625153507,0.5,0.6187920168723484,2122.089944340185
11,-136.6342250850114,1.0,1.8971523203109935,0.25,0.27159479851370566,1.0,1.3446081908971765,0.5,0.5904689066194347,2167.734441218237
12,-136.63536449804224,1.0,1.9524722809446484,0.25,0.27290328923326657,1.0,1.353037604124288,0.5,0.5963503471465982,2157.240796081969
13,-136.5992412862438,1.0,1.1479538368856417,0.25,0.24771209380898054,1.0,1.2056907452385563,0.5,0.47710542066532935,2371.569359037245
14,-184.81492445287282,1.0,0.19763088350396169,0.25,0.012153088823276263,1.0,0.630346233655937,0.5,0.00034161458732860536,3843.910608645983
15,-136.63080762263942,1.0,1.7525014900061813,0.25,0.26812500354832935,1.0,1.3244925728982369,0.5,0.5738603235227319,2195.194639417383
16,-136.46729563560245,1.0,0.5341578698799373,0.25,0.2053778052280097,1.0,0.9767269892202012,0.5,0.27323208435159624,2826.956724377067
17,-136.6359430212488,1.0,1.9862777149147344,0.25,0.2735462875458664,1.0,1.3562898130914345,0.5,0.599767713222428,2152.384203644928
18,-136.48308800816693,1.0,0.4745421060716991,0.25,0.19813500140753598,1.0,0.9429651623442444,0.5,0.23837710627301975,2915.7192476776027
19,-136.46706945812025,1.0,0.5312969181016052,0.25,0.2050497134899094,1.0,0.9752089779180101,0.5,0.27168731767956555,2830.8743935144757
20,-136.6344171664685,1.0,1.8920153446585553,0.25,0.2716166990998781,1.0,1.3439042119136886,0.5,0.5901476377595503,2168.2004126053885
21,-136.46665240712218,1.0,0.5217804680710983,0.25,0.20396701890940097,1.0,0.969599217177121,0.5,0.2664955239613199,2844.3905601408637
