rep,loglik,nu0_true,nu0_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,theta
1,-264.10399492917077,1.0,0.8061188269816567,0.25,0.23043636497917822,1.0,1.0071269320755916,0.25,0.18476472610560157,51532.91279219374
2,-264.1036126846461,1.0,0.8054170206594704,0.25,0.23034107762422024,1.0,1.006961159454045,0.25,0.18451843031406687,51542.71981864849
3,-264.10421797417393,1.0,0.8063327351308208,0.25,0.23041382645648403,1.0,1.0072227562840586,0.25,0.18477585886867712,51531.47543109878
4,-264.1036140653555,1.0,0.8053935611774051,0.25,0.23033589747448438,1.0,1.006944944636213,0.25,0.18451018139820421,51543.34755070524
5,-264.1036123475342,1.0,0.8054237184918458,0.25,0.23034206869845553,1.0,1.0069578524823037,0.25,0.18452097247198643,51542.68416671959
6,-264.1036144416653,1.0,0.8053804942586227,0.25,0.23033456575556358,1.0,1.006946181388625,0.25,0.184505440442116,51543.43443628549
7,-264.1036133558173,1.0,0.8054215367112129,0.25,0.23034364783599004,1.0,1.0069717699239924,0.25,0.18451926543071814,51542.344378901056
8,-264.1036658098974,1.0,0.8056024171714575,0.25,0.23036769100015542,1.0,1.0070647188891493,0.25,0.18456726377546678,51538.68154944492
9,-264.10361547028924,1.0,0.8054806641286341,0.25,0.23034855768538945,1.0,1.0069815160214015,0.25,0.18453789189417905,51541.76016992499
10,-264.1036140067904,1.0,0.8053632215583553,0.25,0.23033765525013655,1.0,1.0069434752805158,0.25,0.18450326301024042,51543.33181776104
11,-264.10361241440205,1.0,0.8054237522941429,0.25,0.23034252297638375,1.0,1.0069600178434726,0.25,0.18452144535533807,51542.63637005652
12,-264.10400555041133,1.0,0.8051550799155159,0.25,0.23028752279315579,1.0,1.0066390840932395,0.25,0.18446390719865607,51552.44906961031
13,-264.103645295344,1.0,0.8053788811807658,0.25,0.23032684722188287,1.0,1.0069483251635147,0.25,0.1845014619168468,51543.95325450379
14,-264.10361281709083,1.0,0.8054194004742283,0.25,0.23034372883286316,1.0,1.0069630650962134,0.25,0.18452047954974266,51542.51323880672
15,-264.1036165071232,1.0,0.8054477273444149,0.25,0.2303496323766095,1.0,1.0069673512538837,0.25,0.18453387552709752,51542.097105988374
16,-264.1036167044981,1.0,0.8054102293681898,0.25,0.2303397856529258,1.0,1.006932426071878,0.25,0.18451834402866044,51543.254902671295
17,-264.1036760839547,1.0,0.8054362873530402,0.25,0.2303340779627894,1.0,1.0070747601964916,0.25,0.18449356124024863,51540.80182635152
18,-264.10373068605395,1.0,0.8055425967735055,0.25,0.2303716411772418,1.0,1.006866650121595,0.25,0.18459889664681672,51542.6319345766
19,-264.1036123843305,1.0,0.8054072838265324,0.25,0.2303413335620571,1.0,1.006951923915465,0.25,0.18451766062306113,51542.90035384293
20,-264.10361603010324,1.0,0.8054506020049358,0.25,0.23034960582269823,1.0,1.0069741797621616,0.25,0.18453212819099243,51541.91612763884
21,-264.1036469547239,1.0,0.8056295318367243,0.25,0.23036941860740412,1.0,1.0070139409764831,0.25,0.18459144978528902,51539.70567035712
22,-264.1036127067132,1.0,0.8054094351695756,0.25,0.23033918302103182,1.0,1.006949249042877,0.25,0.184516291589631,51543.040862813956
23,-264.10362049998184,1.0,0.8053714483543708,0.25,0.23033785858489278,1.0,1.0069524765607667,0.25,0.1845009638120132,51543.016500897815
24,-264.10361663674485,1.0,0.8053252903136596,0.25,0.23033140719506892,1.0,1.0069223646952015,0.25,0.18449174838243054,51544.16959741177
25,-264.10361295366374,1.0,0.805434314138107,0.25,0.23034508572295637,1.0,1.0069649442632762,0.25,0.18452551015004653,51542.37498184319
26,-264.1036124403863,1.0,0.805420393166314,0.25,0.2303428827508288,1.0,1.0069575864180513,0.25,0.184521420288856,51542.6751206542
27,-264.1036150343243,1.0,0.8053732697382681,0.25,0.23033404836425664,1.0,1.006942836194133,0.25,0.18450410493723945,51543.55975908907
28,-264.1036165053538,1.0,0.8053374197531719,0.25,0.23033133013092993,1.0,1.0069445495590514,0.25,0.1844905517618543,51543.71548619959
29,-264.1036158576039,1.0,0.8054366025425269,0.25,0.23034540836572018,1.0,1.0069392262664885,0.25,0.18453201824390045,51542.868809427404
30,-264.1036369589842,1.0,0.8053906337887398,0.25,0.23034373132632313,1.0,1.0069123963379398,0.25,0.18451775168763657,51543.371702601005
31,-264.10365626064186,1.0,0.8051456422373309,0.25,0.23031470481449587,1.0,1.0068765365176715,0.25,0.18443647702034788,51546.34250427117
32,-264.10363681797435,1.0,0.805290239119634,0.25,0.23033555925440158,1.0,1.006868252868101,0.25,0.18449729020229158,51545.099280343806
33,-264.10362634467174,1.0,0.8052592581731239,0.25,0.23032543448617496,1.0,1.0068974028452324,0.25,0.1844738737460339,51545.14235568226
34,-264.10361801908266,1.0,0.8053559547847978,0.25,0.23034086653747413,1.0,1.0069335478828465,0.25,0.18450707299529495,51543.40478534177
35,-264.1036464941194,1.0,0.8052226512903452,0.25,0.23033060926183266,1.0,1.0068732766890083,0.25,0.18447378044750945,51545.43399397741
36,-264.10361507169273,1.0,0.8054335639170354,0.25,0.23034151446741857,1.0,1.0069476166715794,0.25,0.18452630194457212,51542.93151492183
37,-264.103614642258,1.0,0.8054582591592028,0.25,0.2303480910937575,1.0,1.0069614746472366,0.25,0.18453549609621253,51542.22982364491
38,-264.10372824071646,1.0,0.8057336953063863,0.25,0.23037929105096358,1.0,1.0069947196530205,0.25,0.18463836883096166,51539.53412728379
39,-264.10361382962446,1.0,0.8053748071925195,0.25,0.23033546734433305,1.0,1.006936356092404,0.25,0.18450663062288664,51543.588744599205
40,-264.10361223366453,1.0,0.8054007445122975,0.25,0.23033982816776222,1.0,1.0069498884738373,0.25,0.18451432868423795,51543.01215521806
41,-264.10371306027855,1.0,0.8051652991731372,0.25,0.23031338407453486,1.0,1.0069336603781907,0.25,0.1844211739413599,51544.95310373255
42,-264.1060783358198,1.0,0.8037002407183371,0.25,0.2301347306432699,1.0,1.0067528588375187,0.25,0.1838972936744049,51561.374217503515
43,-264.10363089585144,1.0,0.8053567060634401,0.25,0.23033009696508086,1.0,1.0068925266267281,0.25,0.18450168138283754,51544.617130916
44,-264.10365030003004,1.0,0.8053981154651507,0.25,0.230355355178228,1.0,1.0069489773121785,0.25,0.1845261489823289,51542.14730585754
45,-264.1036139193061,1.0,0.8054204740351316,0.25,0.23034151969374467,1.0,1.0069779071578988,0.25,0.18451579817769395,51542.33972315405
46,-264.1036137040037,1.0,0.8053844948429467,0.25,0.23033848731719864,1.0,1.0069422799737837,0.25,0.18450898158714146,51543.22159355716
47,-264.10361226143414,1.0,0.8054071337957451,0.25,0.23034020814138373,1.0,1.0069532013201914,0.25,0.18451550086116247,51542.90357982495
48,-264.10370329761054,1.0,0.8051567159521567,0.25,0.230312217546853,1.0,1.0069126222193254,0.25,0.18442229399394672,51545.45478997757
49,-264.1036151454946,1.0,0.8053885311245591,0.25,0.23033554894103878,1.0,1.00694770299805,0.25,0.18450894113132144,51543.361855460746
50,-264.1037976064599,1.0,0.8049102401283841,0.25,0.23030056429443826,1.0,1.0068247705384603,0.25,0.18436924981596306,51548.611999802546
