rep,loglik,nu0_true,nu0_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,theta
1,-272.00602272637843,1.0,0.8821980458705542,0.5,0.4864470209388098,1.0,1.0283006314670797,0.5,0.4207219490935325,255485.00005905013
2,-272.0060186101764,1.0,0.8822355785502375,0.5,0.4864554389121034,1.0,1.0282935432296245,0.5,0.420754195150065,255482.10822659289
3,-272.00602251937744,1.0,0.8821631229978748,0.5,0.48644693713771825,1.0,1.0283208268533546,0.5,0.42069368925796485,255485.28023139984
4,-272.00602251647797,1.0,0.882262472142212,0.5,0.4864628494856539,1.0,1.0282830408031185,0.5,0.4207827678000558,255480.01482820234
5,-272.00601773192466,1.0,0.8822301692259807,0.5,0.48645653238733133,1.0,1.0282964305009215,0.5,0.4207518169508017,255481.92346631765
6,-272.00604214982377,1.0,0.882287975938685,0.5,0.48646930065998994,1.0,1.0282562692704658,0.5,0.42081783212013213,255479.01103618462
7,-272.00604521350033,1.0,0.8822850830288564,0.5,0.48646379385474375,1.0,1.0282339887376162,0.5,0.4208176630821943,255481.4389637691
8,-272.0060316688978,1.0,0.8822875340997597,0.5,0.48646321765647066,1.0,1.0282558036843898,0.5,0.4208077473698311,255480.37444499624
9,-272.00608664271203,1.0,0.8820394513387372,0.5,0.4864215325739771,1.0,1.0283660624805295,0.5,0.4205774768105317,255493.1685099727
10,-272.00601766911495,1.0,0.8822175340292032,0.5,0.48645445313876423,1.0,1.0282921357256982,0.5,0.4207445326001081,255483.0629372463
11,-272.0060192518613,1.0,0.8822475153609005,0.5,0.4864579404183054,1.0,1.0282929148934647,0.5,0.42076393076951857,255481.14918117833
12,-272.00602719644303,1.0,0.8821583129299125,0.5,0.4864426395814255,1.0,1.0282912527436197,0.5,0.4207013775621893,255487.91175959178
13,-272.0060200704829,1.0,0.8821886381081739,0.5,0.4864511253356459,1.0,1.028297417049733,0.5,0.4207244209645681,255484.6073018589
14,-3269.630223141732,1.0,0.5400509617661811,0.5,0.21997188256831018,1.0,1.1010002186711545,0.5,0.011438041104275064,291910.0051889067
15,-272.0060603929305,1.0,0.8820623315645613,0.5,0.4864351447721428,1.0,1.0283243614115807,0.5,0.4206269793620691,255491.43150579446
16,-272.0060186542978,1.0,0.8822430622487318,0.5,0.48645855511377184,1.0,1.0282916689566979,0.5,0.42076292373731916,255481.2395614943
17,-272.0060425724296,1.0,0.8821702941491709,0.5,0.4864448738711507,1.0,1.028259391498434,0.5,0.4207263541540822,255488.59232606436
18,-272.0062799059124,1.0,0.881814707136713,0.5,0.48638979077408856,1.0,1.0284072746226527,0.5,0.42040531405679243,255506.39965615375
19,-272.0060394159118,1.0,0.882325627282235,0.5,0.48646832720608474,1.0,1.028279918819577,0.5,0.42082144366316626,255476.61942080598
20,-272.00606906674875,1.0,0.8823882923213769,0.5,0.48647591769117254,1.0,1.0282537933948872,0.5,0.4208756761834731,255473.95458532995
21,-272.00631175626404,1.0,0.8822333722342479,0.5,0.48645855762803786,1.0,1.0281988713717538,0.5,0.4208219594385247,255486.44283174988
22,-272.00671688733564,1.0,0.8828776884140929,0.5,0.48655363192890183,1.0,1.0281168003200472,0.5,0.42128865208967775,255445.67352545186
23,-272.0064017621189,1.0,0.8817854416575608,0.5,0.4863941201966332,1.0,1.0285022665684669,0.5,0.42035092699016596,255501.72723669236
24,-272.0060431401398,1.0,0.8823015931252772,0.5,0.4864709092709398,1.0,1.0282584467479547,0.5,0.4208262364297239,255478.04789026253
25,-272.006017400603,1.0,0.882217131273258,0.5,0.48645475462102605,1.0,1.0282997994894236,0.5,0.42074132087168636,255482.62651945878
26,-272.00625213450985,1.0,0.8818530722210486,0.5,0.48640120614274956,1.0,1.0283905670735345,0.5,0.4204539929152946,255503.36458683672
27,-272.0061349673342,1.0,0.88246639324351,0.5,0.48649742873473806,1.0,1.0282804549586633,0.5,0.4209297591558121,255464.97919941542
28,-272.0083930496803,1.0,0.8834380033555654,0.5,0.48665033996687235,1.0,1.0280180601285944,0.5,0.42173431816628343,255408.58597828343
29,-272.0060178496933,1.0,0.8822083862933076,0.5,0.4864536446608841,1.0,1.0283059185835086,0.5,0.4207329622402531,255482.88848954032
30,-272.0061004946765,1.0,0.8820738249017448,0.5,0.4864431733347121,1.0,1.0283651257356088,0.5,0.4206165858719692,255487.1191416173
