rep,loglik,nu0_true,nu0_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,theta
1,-163.01675854315175,1.0,1.9065317207930048,0.25,0.28923786942444724,1.0,1.1295876166442793,0.25,0.38899372619279493,4545.6513826335695
2,-163.02690622750885,1.0,1.7657900788402225,0.25,0.2860834636044128,1.0,1.1197493891060109,0.25,0.3757094715449693,4587.37457921421
3,-163.19142246387017,1.0,1.4393067143055072,0.25,0.27669344886987435,1.0,1.09360238844726,0.25,0.3376353599840012,4711.157186791783
4,-163.0586977299023,1.0,1.6285226402783233,0.25,0.2829863137544317,1.0,1.1082846386103526,0.25,0.36187235562334685,4633.283225363627
5,-163.01623933597213,1.0,1.940062773893875,0.25,0.2899635262090248,1.0,1.1314053376703408,0.25,0.392004609694198,4536.820452253797
6,-163.0532238701623,1.0,2.471438005572038,0.25,0.2989716884242771,1.0,1.159032124597103,0.25,0.4299622476339767,4422.206776525421
7,-163.02134516516196,1.0,1.8172648062572268,0.25,0.2872436917398302,1.0,1.122702856929563,0.25,0.3808115336754877,4572.763627062586
8,-163.0480868006847,1.0,1.6575699170487785,0.25,0.28339866658403035,1.0,1.1105810250385744,0.25,0.36450650328587453,4624.676020453673
9,-163.01622042144498,1.0,1.9525660412379893,0.25,0.29021854815319514,1.0,1.1321835237224647,0.25,0.39307605113954075,4533.497730592216
10,-163.03071905058215,1.0,2.239628532653589,0.25,0.29536078265339283,1.0,1.1476126441427372,0.25,0.4150732161919855,4467.605060745269
11,-163.0598941505092,1.0,2.5469414372996377,0.25,0.29974186368347616,1.0,1.1623742522676743,0.25,0.43374941206186446,4410.314295526301
12,-163.0185778669957,1.0,1.8567253224471367,0.25,0.2881673248005077,1.0,1.1257234500499698,0.25,0.3845461936666412,4560.485118073029
13,-163.01861570805957,1.0,1.8789510000143628,0.25,0.2888023270925206,1.0,1.1277518015803194,0.25,0.38690299221944424,4552.882220867418
14,-163.01621899935841,1.0,1.9456262765353687,0.25,0.29008170301706054,1.0,1.131753221562322,0.25,0.39249081616176623,4535.316590083862
15,-163.02491006430822,1.0,1.7822168631083732,0.25,0.2863911807416345,1.0,1.1199076801822698,0.25,0.37736372538469964,4584.098009169305
16,-163.0324850070118,1.0,1.728425681857967,0.25,0.28520924112449975,1.0,1.116467708073488,0.25,0.37201989286030906,4599.959558439195
17,-163.01649662394317,1.0,1.9157600595511464,0.25,0.28946754835008914,1.0,1.129792343438823,0.25,0.3899011638490913,4543.4449141902205
18,-163.09858803437365,1.0,1.5380696808724528,0.25,0.27978080858523074,1.0,1.1012845056001157,0.25,0.3502396435498273,4670.417602853351
19,-163.0568165592645,1.0,1.6280456957837925,0.25,0.28257230851681275,1.0,1.1081273794654858,0.25,0.36112240985222704,4635.480368276497
20,-163.0162745391997,1.0,1.935504072950088,0.25,0.289863773907282,1.0,1.1311116540901565,0.25,0.39161614892738794,4538.109694453529
21,-163.0166195943057,1.0,1.9107062021161016,0.25,0.2893356652402791,1.0,1.1294486379976556,0.25,0.38944091911415135,4545.031795473157
22,-163.0167699690585,1.0,1.9029748729218308,0.25,0.28919143298291744,1.0,1.1288180457892985,0.25,0.3887817407409175,4547.213748325687
23,-163.01633239073874,1.0,1.928144873804623,0.25,0.2897516048010925,1.0,1.1306788855715373,0.25,0.3910219513112528,4539.822903118004
24,-163.02126753562715,1.0,1.817524510266054,0.25,0.2873351534299736,1.0,1.1232542204152274,0.25,0.3808849492605652,4571.481442742875
25,-163.01700061064204,1.0,1.9004662274621058,0.25,0.2891191142224422,1.0,1.1285260626552152,0.25,0.3886028228634573,4548.288226946544
26,-163.0650908861855,1.0,2.596856206929,0.25,0.30038557663702464,1.0,1.1653029666573893,0.25,0.43638034645820417,4401.0696449467805
27,-163.22286632098997,1.0,4.473493915553499,0.25,0.3140774517386421,1.0,1.2099507338679445,0.25,0.4977053902324224,4229.857134396834
28,-163.02753966470243,1.0,1.760585410010137,0.25,0.2859438994431413,1.0,1.1187757022551676,0.25,0.3752351646132951,4589.917759201431
29,-163.14296195114002,1.0,3.3839526610108575,0.25,0.3080224284562293,1.0,1.1908545881714936,0.25,0.4695926727216477,4304.256495077856
30,-163.16651655615323,1.0,1.4354768397757767,0.25,0.2763368995087684,1.0,1.0903025164910154,0.25,0.33632579032214355,4716.576563362302
31,-163.01650244642775,1.0,1.9159931540247666,0.25,0.2894449391944477,1.0,1.1296015529075034,0.25,0.38990228467524707,4543.799500977292
32,-163.0164811463536,1.0,1.9172307955722356,0.25,0.28952649677395886,1.0,1.129935353406069,0.25,0.39007313087457485,4542.840352186309
33,-163.0181476089518,1.0,1.865074861643661,0.25,0.2884158562349004,1.0,1.1264579985362224,0.25,0.3853797459125468,4557.4764857312775
34,-163.05344014365016,1.0,1.6388835745633574,0.25,0.2829110022433773,1.0,1.1090585344151236,0.25,0.36240882604760744,4631.250248728162
35,-163.023977957544,1.0,1.789671520480101,0.25,0.28668458811020514,1.0,1.1213998780090106,0.25,0.3781438470417871,4579.8237393518875
36,-163.01815310023449,1.0,1.864811130160373,0.25,0.2883754281903501,1.0,1.1263254726204242,0.25,0.385322529608922,4557.898750246345
37,-163.01776706132685,1.0,1.8785359270000876,0.25,0.28874084921940796,1.0,1.1283534406901474,0.25,0.3865558221451978,4552.135645769465
38,-163.01930827891724,1.0,1.881737411373318,0.25,0.2890078327584475,1.0,1.1303410527189752,0.25,0.38683370718342674,4547.607839831548
39,-163.01839197597317,1.0,1.8599671314456498,0.25,0.2882833355674634,1.0,1.1259879780162354,0.25,0.38490157485126686,4559.241964592966
40,-163.020831719816,1.0,1.8229862687046083,0.25,0.2874514141899916,1.0,1.1231405177238474,0.25,0.3814600565661809,4570.573641658313
41,-163.01623508028374,1.0,1.9410745417156485,0.25,0.2899771750752824,1.0,1.1314398437048088,0.25,0.39208273307614383,4536.622733670628
42,-163.0421765249982,1.0,1.6810200447175523,0.25,0.28395624022791993,1.0,1.1121486435189838,0.25,0.3670212041516116,4617.172577387253
43,-163.09910840348388,1.0,1.53003893278938,0.25,0.27961067230098496,1.0,1.097883826677034,0.25,0.3493926688038878,4676.524235840691
44,-163.12593493999796,1.0,1.495523029841673,0.25,0.27863006919133537,1.0,1.0963154913442232,0.25,0.34532939306357485,4689.0238492626095
45,-163.01625877547306,1.0,1.940050431883177,0.25,0.2900004661047844,1.0,1.1316471881221764,0.25,0.3920382622189336,4536.314336334687
46,-163.04596090241347,1.0,2.407656586233008,0.25,0.2979292125912796,1.0,1.1561087560258902,0.25,0.42586584004414346,4434.297982567311
47,-163.03000880417034,1.0,1.7435248741542178,0.25,0.28558856256309134,1.0,1.1176656670063034,0.25,0.3735784668545811,4594.898125340545
48,-163.0647012308889,1.0,2.593816695641477,0.25,0.3002834400903636,1.0,1.1644977337641367,0.25,0.43618596952634214,4402.761670160419
49,-163.04241924330225,1.0,1.680466177584751,0.25,0.28410258643003145,1.0,1.1130825235801372,0.25,0.3670835924740211,4615.178347877524
50,-163.35504087432452,1.0,8.434388885586452,0.25,0.324464078590071,1.0,1.2459232188394007,0.25,0.5431512726986424,4105.989105819157
