loglik,nu01,nu02,nuBot,T1,T2,misid,theta
-651.3918673584204,11.693423027659968,54.8919914529727,0.19362749902556003,1.9409074294626945,0.5069538390144623,0.015610040276636731,5639.844316203698
-651.2126770055098,20.423990864394092,36.02848581987166,0.19682405987071813,1.9871386240557896,0.5174837235887064,0.016170089006184447,5546.08490548539
-651.2288842154367,17.515243710305867,45.98487563648206,0.19684092956771457,1.990304579447089,0.5172287824444666,0.016213089402079023,5541.779346999665
-651.4355880968136,11.11461865118678,19.51511492428033,0.19344867960947337,1.9421428062849067,0.5009178329152986,0.016278771480033125,5645.030370470052
-651.2517721492644,18.945569608592,26.353107644448663,0.19746773303479342,1.999508502002397,0.5172589117400114,0.016537965644573497,5526.971119019773
-651.1021968412936,37.90904260196804,52.42388177539978,0.20057578794925354,2.0411730108694277,0.531252308807362,0.01660598410833862,5440.910307505015
-651.5721679819204,7.7375052734251994,60.94140967923912,0.1933321465225332,1.942918409044464,0.5006177493024995,0.01618392674549132,5644.530179686343
-651.1998430927831,36.78097193205545,21.322726866874476,0.19812154523691217,2.0083834489569896,0.5211070364013727,0.016456952972207693,5507.226028602398
-651.4782213402445,9.972113430085173,19.854241764501857,0.1939725736600359,1.9528967595541586,0.5010628145802523,0.016534640512413858,5627.448754843608
-651.6400459183675,7.091892646221735,54.77754127706295,0.19284309184006973,1.9362713956030382,0.4978899226140742,0.016230478601652717,5659.899729966391
-651.1638266468294,21.084255070120346,87.07751345943743,0.19913621839133408,2.0221006252515177,0.5257975592283839,0.01644433158699398,5478.644206175306
-651.1444504360828,90.97041982239548,65.59823573711591,0.21024051896523074,2.1880827330082235,0.5592661522738954,0.018290555991866513,5187.031827368231
-651.3843568778076,19.272167055556977,12.991535530087647,0.19538292326709122,1.9732198799478147,0.5070875409104011,0.016565707428153643,5584.867673879242
-651.3138611846773,13.760600773990257,32.244854844926984,0.1968476123154612,1.9914239769068642,0.5141258524784174,0.01653368999587438,5544.597328251034
-651.1238243937634,60.53296591796353,29.555053333278696,0.19902432695139044,2.0193226998213682,0.5265434920624517,0.01630835780169398,5481.779504822707
-651.2830373082927,18.60024272619408,21.2317800090539,0.19712197592851394,1.9958698497171996,0.5150311141150025,0.016616576298022896,5536.248408401889
-651.384562814442,46.28482430169159,10.85703810079485,0.1961987666272245,1.9840074836842143,0.5113974913496635,0.016512575639041096,5560.989052688763
-651.9149146912649,6.104997894264991,8.826213120470902,0.18609899068502397,1.8469621792697815,0.4672230531087124,0.01619629531984715,5864.8078602900405
-651.4026228848412,10.764591140923908,33.33875242775162,0.19525997779729573,1.9669955427498016,0.5079675201241713,0.016404924181319294,5593.344603817294
-651.4343616296716,15.126536454437248,12.736119059176325,0.19435525578030088,1.9584477230926831,0.5026163707632607,0.016731031464050083,5616.033903650348
-651.2929883119707,15.790986566850753,26.123634069727853,0.19674698965086662,1.9903961279705422,0.5140417302222559,0.016504747950996303,5546.481029770402
-651.3270300552703,20.815533764812216,15.341291508131619,0.19557325998583694,1.973194249246417,0.5096034448009508,0.016404135417206117,5580.926369565881
-651.2021831778623,22.053316461441216,33.110889667244514,0.1981525587882314,2.0090062793022545,0.5209722125625892,0.0164743330193151,5506.441049424541
