rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-273.0574081499435,1.0,1.001287648942077,1.0,0.9837050117341828,0.25,0.276342328580451,0.1,0.10025754984856189,248865.17749077897
2,-273.0573993358703,1.0,1.0013004452996508,1.0,0.9837093015899321,0.25,0.27635941799018915,0.1,0.10025476790846032,248862.5245071907
3,-273.05740817598416,1.0,1.0012920160240448,1.0,0.9837100791004875,0.25,0.27634104277146626,0.1,0.10025884588163726,248864.4137280546
4,-273.05741643371584,1.0,1.0012889958877405,1.0,0.983711034444967,0.25,0.2763340535605945,0.1,0.10026059773481989,248865.07975304982
5,-273.05740862264065,1.0,1.001301542027522,1.0,0.98372459293684,0.25,0.2763491671507217,0.1,0.10025755317707888,248862.16392870087
6,-273.0573973175051,1.0,1.0012978022662236,1.0,0.9837055351161974,0.25,0.2763562453728531,0.1,0.10025418301512391,248863.1737391481
7,-273.05739558047935,1.0,1.0012962641235312,1.0,0.9837013688928461,0.25,0.2763577100404568,0.1,0.10025400694259443,248863.49931057973
8,-511.45795986687153,1.0,1.0411087192853006,1.0,0.0001,0.25,1.4387327252622688,0.1,0.07194970737945139,237245.74769051472
9,-273.05739612838806,1.0,1.001295215167494,1.0,0.9837023703417643,0.25,0.2763559664635308,0.1,0.10025473957724652,248863.67615713508
10,-273.05739839345915,1.0,1.0012908063046835,1.0,0.9836945864853607,0.25,0.2763542868598781,0.1,0.10025477764209594,248864.6766767597
11,-273.0574001044588,1.0,1.0012908807146221,1.0,0.9836993184501613,0.25,0.2763506615863977,0.1,0.10025592356098456,248864.62069375228
12,-273.05739654955687,1.0,1.0012996599695225,1.0,0.9837107055718531,0.25,0.27635856178178425,0.1,0.10025563420442873,248862.61264968268
13,-273.0573989618133,1.0,1.0012914838864886,1.0,0.9837003254524533,0.25,0.27635460175107934,0.1,0.10025732021723482,248864.3391546783
14,-273.0574328290677,1.0,1.0012945484337468,1.0,0.9837378322524619,0.25,0.27631412736071453,0.1,0.10026039424455584,248864.01237684282
15,-273.05739628152514,1.0,1.0013001791285276,1.0,0.9837088844680206,0.25,0.27635889995847757,0.1,0.10025519922725683,248862.59994362705
16,-273.05740470829915,1.0,1.0012996796644917,1.0,0.9837067891685423,0.25,0.2763557649506002,0.1,0.10025219484250542,248862.87693777218
17,-273.0574026132308,1.0,1.0012977032275998,1.0,0.9837148040326599,0.25,0.2763494346126595,0.1,0.10025628125176711,248863.08650712593
18,-273.0574100513986,1.0,1.0012967347268107,1.0,0.9837164438472145,0.25,0.2763386866258114,0.1,0.10025725456213887,248863.58740266206
