rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
19,-164.71250084791234,1.0,1.028693691478307,1.0,0.9956923328458499,0.25,0.3493810940781214,0.1,0.0960663307295055,2372.2639707717926
20,-164.71244305823862,1.0,1.028772412607658,1.0,0.9954081574630737,0.25,0.34975461422323545,0.1,0.09596884398745453,2372.12813439812
21,-165.67475716209663,1.0,1.0589994796845408,1.0,0.6957304375421685,0.25,0.7672184539447091,0.1,0.07733725934661358,2293.5806901363094
22,-164.71278387615897,1.0,1.0282426210188638,1.0,0.9976428703216904,0.25,0.3458867282066996,0.1,0.09636279104962309,2373.4156527691553
23,-166.22962387402498,1.0,1.0745403310536459,1.0,0.07970863520661665,0.25,1.4617516040947338,0.1,0.07329699416060108,2251.6448837202975
24,-164.71312704324163,1.0,1.0298129401092515,1.0,0.9938518349392014,0.25,0.35363848727458247,0.1,0.09551728412502575,2369.9147879632196
25,-164.71265146373136,1.0,1.028587548053322,1.0,0.9965787657777174,0.25,0.3476767211455696,0.1,0.09618777580980162,2372.7013001609544
26,-164.7124493397776,1.0,1.0287617029730012,1.0,0.9952987625119931,0.25,0.3497666464866706,0.1,0.09596927521860399,2372.178764658833
27,-164.71244329568967,1.0,1.0287424253424613,1.0,0.9953681413981257,0.25,0.34976917044448985,0.1,0.09598183471682394,2372.1771639524864
28,-164.71274630408345,1.0,1.0284131027821912,1.0,0.9977384094906073,0.25,0.34613190180691417,0.1,0.09631362327764015,2373.06556380083
29,-164.71268528953303,1.0,1.028498336120937,1.0,0.9973931414817335,0.25,0.3467221589556551,0.1,0.09627244601492427,2372.865513428192
30,-164.7124445888909,1.0,1.0287350266775575,1.0,0.9953462326952526,0.25,0.3497846937869907,0.1,0.09597823330114737,2372.189285048881
31,-164.71278827802266,1.0,1.028395575852523,1.0,0.998057420774544,0.25,0.345662151336299,0.1,0.09637600587920565,2373.1427553330027
32,-164.71244116914065,1.0,1.0287919003669828,1.0,0.995423138927494,0.25,0.34978370009607845,0.1,0.09596841291171194,2372.086286350704
33,-164.71244213150277,1.0,1.0288138221094192,1.0,0.9954637683369378,0.25,0.34979973659751645,0.1,0.09597636694692609,2372.036595141408
34,-164.71244211638913,1.0,1.0287754444077424,1.0,0.9954036922531706,0.25,0.34977455376990535,0.1,0.09597671179240087,2372.118603324382
35,-164.71244336635664,1.0,1.028786392597894,1.0,0.9954455724391763,0.25,0.3497840488906226,0.1,0.09598508455479424,2372.085198204596
36,-164.71244093443823,1.0,1.0287922759563792,1.0,0.9954056468401538,0.25,0.3497921163053984,0.1,0.09596618955033538,2372.089219212777
37,-164.71327240452698,1.0,1.0293328008255453,1.0,0.9921210524502935,0.25,0.3551717511410389,0.1,0.09551814903746615,2370.6257644901857
38,-164.71244084125814,1.0,1.0287891069096782,1.0,0.995414959127537,0.25,0.34978657194983676,0.1,0.09596788585416027,2372.0919365152286
39,-164.71770222702216,1.0,1.0270910005080378,1.0,1.0041801618483306,0.25,0.33510406613216176,0.1,0.09752962193252121,2376.4701930146307
40,-166.23187986359628,1.0,1.074649663488099,1.0,0.05181345150765174,0.25,1.4899753772501607,0.1,0.07323794665012807,2251.435152923985
41,-164.71244270185363,1.0,1.0287964140937536,1.0,0.9954483373115844,0.25,0.34980113263620016,0.1,0.09597045441892649,2372.0645312294855
42,-164.7124430692306,1.0,1.0287923012622187,1.0,0.9954381333091515,0.25,0.3497847668992111,0.1,0.09595863691488878,2372.079579160601
43,-164.71245282421722,1.0,1.0289273439974185,1.0,0.9955777150205732,0.25,0.3498543792666602,0.1,0.09595551975636017,2371.825022372008
44,-164.71273728326386,1.0,1.02908602726555,1.0,0.9935956736376779,0.25,0.3526441597543448,0.1,0.09570078226650483,2371.329346449601
45,-164.71244130062644,1.0,1.0287834176312702,1.0,0.9954179332733694,0.25,0.34978121949422697,0.1,0.09597263716396959,2372.1003083297537
46,-164.73173052629755,1.0,1.025779622795909,1.0,1.0128286675100706,0.25,0.32235234890741027,0.1,0.09900068442432278,2379.6792496705807
47,-164.71244777238374,1.0,1.0287518507624789,1.0,0.9954322514786752,0.25,0.34969674022035296,0.1,0.09597326951461445,2372.1674243655616
48,-166.23348537478716,1.0,1.0745873827475598,1.0,0.0003427043366592421,0.25,1.5415155160608942,0.1,0.07321846604809869,2251.509839274185
49,-165.6989397668753,1.0,1.0534550075659566,1.0,0.6792418613716403,0.25,0.7729208652878754,0.1,0.07766464174009875,2304.301854419988
50,-164.7126343134145,1.0,1.0290758896610481,1.0,0.9944725836866618,0.25,0.3515346096085619,0.1,0.09583022686061003,2371.4248179153806
