rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-273.995677005536,1.0,0.9960134527747009,1.0,0.9791151387455542,0.5,0.5224363424715976,0.1,0.09553305066671222,249787.29449995936
2,-273.99566792300175,1.0,0.9958834141320932,1.0,0.9798123166527704,0.5,0.5212235772814633,0.1,0.09559474713317556,249824.08471720744
3,-273.9956662789373,1.0,0.995878717316115,1.0,0.9798196191918134,0.5,0.5211965016932931,0.1,0.09559533852375213,249825.46776876965
4,-273.9957271079438,1.0,0.9960251075474557,1.0,0.9790028986745853,0.5,0.5226193675700488,0.1,0.09553022301408062,249783.184442482
5,-273.9956680657597,1.0,0.9958706229970467,1.0,0.9798320312902393,0.5,0.5211618375300661,0.1,0.09559803259588108,249827.43254503186
6,-273.99568594375523,1.0,0.9960135184964529,1.0,0.9791348265171486,0.5,0.5224165183392678,0.1,0.09553541207058147,249787.2778439183
7,-274.0071610924715,1.0,0.9963361989428637,1.0,0.977600609883429,0.5,0.5251624464046919,0.1,0.09538338048542949,249698.30846070958
8,-273.99565889830046,1.0,0.996020378995891,1.0,0.9790531917403972,0.5,0.5225353523635644,0.1,0.095528547520149,249785.0172727083
9,-273.9956591732371,1.0,0.9960193572393479,1.0,0.9790599443971205,0.5,0.5225252337029709,0.1,0.09552948128570996,249785.28136602195
10,-273.99568062136314,1.0,0.9958747891805839,1.0,0.9798962459748177,0.5,0.521092097688922,0.1,0.09560129899666689,249826.98479907043
11,-273.99570574128666,1.0,0.9958668521751785,1.0,0.979941244308569,0.5,0.5210220394774234,0.1,0.09560475931827002,249829.0018670342
12,-273.9956933546273,1.0,0.9958652486914332,1.0,0.9799005213839198,0.5,0.5210594946199435,0.1,0.09560088989322675,249829.37335105473
13,-273.9956608661996,1.0,0.9960270529277533,1.0,0.9790695020853951,0.5,0.5225359397931271,0.1,0.09552970556537313,249783.43745864925
14,-273.99569201751,1.0,0.995898946246694,1.0,0.9797998983202681,0.5,0.5212789273088191,0.1,0.09559007410396746,249820.2980564019
15,-273.99566762125323,1.0,0.9960312069731212,1.0,0.9790124444267808,0.5,0.5226131968987845,0.1,0.09552449708113325,249782.15561707437
16,-273.9956666622056,1.0,0.9958731925461735,1.0,0.9798508986835012,0.5,0.5211494849255034,0.1,0.09559884870578314,249826.81439886245
17,-273.99571739952444,1.0,0.995850290837566,1.0,0.9799549857336672,0.5,0.5209638105055477,0.1,0.09560870527059334,249832.9887898582
18,-273.995729387203,1.0,0.9958781531318811,1.0,0.9799645832278672,0.5,0.5210142890231281,0.1,0.09560692503611451,249826.7977695175
19,-380.3595134498719,1.0,1.058115793122359,1.0,0.008425012693153825,0.5,1.7564639745137598,0.1,0.0798083309071457,233273.30223884815
20,-273.99565847635677,1.0,0.9960244878537218,1.0,0.9790590467490624,0.5,0.5225411411595783,0.1,0.09552860264780348,249784.00237210686
21,-273.99570663781924,1.0,0.9958616951460453,1.0,0.9799361365087002,0.5,0.521018884549994,0.1,0.09560482039506375,249830.0473742652
22,-273.99566506307383,1.0,0.9958754156696156,1.0,0.9798383318664043,0.5,0.5211685713825451,0.1,0.09559727142004873,249826.26528791804
23,-273.99566174489155,1.0,0.9960214188334988,1.0,0.9790620010084958,0.5,0.5225331497577683,0.1,0.09552830919823023,249784.6216639154
24,-273.99577180837514,1.0,0.9959087321845513,1.0,0.979697797013037,0.5,0.5214366101288158,0.1,0.09558516670857684,249816.96185921205
25,-273.9956670589563,1.0,0.995879461978908,1.0,0.9798148456196827,0.5,0.5212091446929988,0.1,0.09559474132376242,249825.08014715655
26,-380.3635865303768,1.0,1.0579960306328224,1.0,0.0001,0.5,1.7646018230644755,0.1,0.07982875060561237,233294.81055771952
