rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-265.91756993811214,1.0,0.9891401779504568,1.0,0.7556704423898307,0.25,0.47999378101889145,0.001,0.0005234088274319531,251246.68356216713
2,-259.05543146938726,1.0,0.9968236047572452,1.0,1.236927866062387,0.25,0.012313036290594439,0.001,0.003368650088897936,249597.80409890428
3,-267.7344058045237,1.0,0.9873569335736149,1.0,0.8764007152805342,0.25,0.35824653860954725,0.001,0.0008244424309620304,251543.69055554032
4,-269.47691867562025,1.0,1.0007860642182012,1.0,0.7146014219340981,0.25,0.5505527922773346,0.001,0.0024745171535996186,248403.08311127892
5,-258.77709364855036,1.0,0.997464264712728,1.0,0.9817739103290001,0.25,0.27056239458752673,0.001,0.0010295516034609738,249382.2945971579
6,-259.67373434316323,1.0,0.9955583952775998,1.0,1.2462282077655569,0.25,0.00010000000000000002,0.001,0.00016033938868746878,249895.29025621017
7,-259.21480932487975,1.0,0.9964551323250606,1.0,1.0711382022624476,0.25,0.17707496256314717,0.001,0.00015935156178574443,249691.7091548695
8,-261.8548443875734,1.0,0.9988535460186686,1.0,1.0460501725365703,0.25,0.20971137726454223,0.001,0.0019170917801828646,249047.8994053279
9,-262.4742982878961,1.0,1.0001077177248245,1.0,0.634326229791565,0.25,0.6267901704930163,0.001,0.0017727029431487892,248660.3700268255
10,-261.5559833594234,1.0,1.0022673092487187,1.0,1.124297282524511,0.25,0.1337010599597901,0.001,0.00027994963741626207,248477.83865564514
11,-270.0894522065246,1.0,1.0012323979565412,1.0,0.4311373178486192,0.25,0.8356866948720771,0.001,0.0024809326150901914,248280.12545101784
12,-259.4838395412735,1.0,0.998754756409675,1.0,0.44889343139035515,0.25,0.8085962717159769,0.001,0.0012941862145931604,248997.55793196094
13,-259.0048967176299,1.0,0.9973982662472076,1.0,1.184751286753885,0.25,0.06586738109269347,0.001,0.0014286891187828218,249460.7638526282
14,-258.0481747914346,1.0,0.9977508995233472,1.0,0.5513038582099038,0.25,0.7015226704098922,0.001,0.0006641975889431253,249324.01213622032
15,-260.16333777353066,1.0,0.9938480159094935,1.0,0.019749618473727318,0.25,1.2233883590267585,0.001,0.000101767936920514,250268.84331925088
