rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-157.58126870976002,1.0,0.9758799979843942,1.0,0.7088744572384618,0.25,0.47832383324475003,0.001,0.0012340838174672995,2569.401334257319
2,-157.56344729486142,1.0,0.9749162401288598,1.0,1.1625433671020695,0.25,0.021187651225540907,0.001,0.005472190097972148,2572.285274586096
3,-157.81035777122656,1.0,0.9583988718934234,1.0,0.8594139414269188,0.25,0.297895890297194,0.001,0.0004398713136702949,2608.546968850326
4,-157.59327370590154,1.0,0.9750220661781782,1.0,1.0950540274292837,0.25,0.08944808815583737,0.001,0.0021356038639274754,2571.798899456905
5,-157.61030760931186,1.0,0.9762533539512734,1.0,1.0567827943258414,0.25,0.1265133502748397,0.001,0.0004079325758432714,2570.500332409062
6,-157.60607037518454,1.0,0.9775848497459381,1.0,0.19129095443494964,0.25,0.9957530604095834,0.001,0.00024614112552075754,2566.9428423613112
7,-157.58529716709785,1.0,0.9744690759020157,1.0,0.471524199056548,0.25,0.7122293928662599,0.001,0.0005196573601723973,2572.9585008207787
8,-157.61733481821824,1.0,0.9739346186045251,1.0,1.0101605122891146,0.25,0.17273604975652512,0.001,0.0002772180057287512,2574.0928260385053
9,-157.6118885233438,1.0,0.9758080943223895,1.0,1.020117861010379,0.25,0.16692866733358597,0.001,0.0020844625734805734,2569.5500949769325
10,-157.59390816653158,1.0,0.9741512698503698,1.0,0.4015711835516987,0.25,0.7814946244291372,0.001,0.0003577590698782211,2573.7188577509023
11,-157.59813676022964,1.0,0.9743877789811393,1.0,1.0311494488353763,0.25,0.15227655961170816,0.001,0.0013622011680596835,2573.200980469925
12,-157.59730147091992,1.0,0.9752795316366594,1.0,1.0953945637891034,0.25,0.08995371292412165,0.001,0.002510970457914394,2571.0553474073517
13,-157.64051990966368,1.0,0.9669881739697275,1.0,1.0940153000998778,0.25,0.07660105187145015,0.001,0.0008188690374515161,2589.7556187757564
14,-157.56815362721767,1.0,0.975807120042338,1.0,0.39027410171259874,0.25,0.797037853529306,0.001,0.0009060032122317282,2569.478006416561
15,-157.59665832953513,1.0,0.9747944396891264,1.0,0.5584645672518129,0.25,0.6243986269923715,0.001,0.00032251146811098367,2572.8497664415727
16,-157.56421884818104,1.0,0.9776012352730568,1.0,0.39654079573754125,0.25,0.7961925283940676,0.001,0.0017011183163526877,2564.5566719485446
17,-157.5723390593202,1.0,0.9752306030978907,1.0,0.4854698670176066,0.25,0.7000762651286192,0.001,0.000854694290575819,2571.0775743756685
18,-157.60441865337896,1.0,0.9768007809416386,1.0,0.7550617464339677,0.25,0.4358843895202764,0.001,0.0019934765670168286,2566.4489506563664
19,-158.8400953196981,1.0,0.9695186185823451,1.0,0.06292754742413469,0.25,1.1382275720603796,0.001,0.007421387534022617,2573.420761601237
20,-157.6014244588318,1.0,0.97413782580009,1.0,0.5239111245194427,0.25,0.6574833542018975,0.001,0.0002285772779961603,2574.4509413974133
21,-165.68922276254585,1.0,1.0800386393612302,1.0,0.0001,0.25,1.3530481009783628,0.001,0.0003043797114796454,2361.8979315488714
22,-157.5607947475621,1.0,0.9756251620061105,1.0,0.10534075573075301,0.25,1.081720049593141,0.001,0.0009447732840537379,2569.8753232569948
23,-157.62972269751234,1.0,0.9689777791548126,1.0,1.166538733372894,0.25,0.007310433464248818,0.001,0.0007993789043647764,2585.3731911436807
24,-158.0428095829455,1.0,0.9511327118646284,1.0,0.6544880250509744,0.25,0.4908293214315513,0.001,0.00010075928847543577,2624.9678409403705
25,-157.60474668382213,1.0,0.9736739415939727,1.0,1.0199235977438321,0.25,0.1613187490146835,0.001,0.00047590025546626454,2575.194765758325
26,-157.57977511894723,1.0,0.9776165963791285,1.0,0.42463970777597554,0.25,0.769885244736909,0.001,0.002142313877961211,2563.7872800091286
27,-157.61204035877338,1.0,0.9734467831745919,1.0,1.1226017956103562,0.25,0.05631004452268678,0.001,0.00028250772788713635,2576.53745327756
28,-157.64396432628445,1.0,0.9672269901234097,1.0,0.9045388067899771,0.25,0.26662470436806185,0.001,0.0006535614162008706,2589.1658688471903
29,-157.66832785386453,1.0,0.9771688476118249,1.0,0.8995725568072686,0.25,0.2932234304067742,0.001,0.002851060268403883,2565.1036715910636
30,-157.55847641401607,1.0,0.9773768327100543,1.0,0.326442865383967,0.25,0.8649945188296233,0.001,0.0014476959496519826,2565.436129579167
31,-157.61740350355115,1.0,0.9719555075478921,1.0,1.1159690181433342,0.25,0.062020732800664766,0.001,0.0001087053012782169,2579.1460463379
32,-157.5916271659994,1.0,0.9748675014701156,1.0,0.2700009501152418,0.25,0.9124861075258712,0.001,0.0003536781388265768,2572.9153769469403
33,-157.56055086539266,1.0,0.9780356377524435,1.0,0.31524841722247066,0.25,0.8785545110092907,0.001,0.0016780919454750453,2563.471259498336
34,-157.58913504144647,1.0,0.9745794093768392,1.0,0.4543742515261019,0.25,0.728638554793801,0.001,0.00042186099089852055,2573.1111467520373
35,-157.58034262706792,1.0,0.9743569645611659,1.0,0.4711632249045871,0.25,0.7137867910383027,0.001,0.0006937334659277759,2572.6167359570454
36,-157.79778930505108,1.0,0.9582746046314835,1.0,0.9694549930514706,0.25,0.1892080304096003,0.001,0.00045564431245810486,2608.1367409076415
37,-157.60099578580648,1.0,0.9737114428215657,1.0,1.142184302218091,0.25,0.03824270341152077,0.001,0.0008208329258610489,2575.490282429356
38,-157.58962897278423,1.0,0.9747206587496076,1.0,0.6605728496028204,0.25,0.5227646175115535,0.001,0.0005363592236415869,2572.7577706436887
39,-157.58524707223438,1.0,0.9742579814171639,1.0,1.1343902862918613,0.25,0.049686313868060716,0.001,0.004070938286669286,2573.110664647189
40,-157.61019085252337,1.0,0.9739493542152129,1.0,1.150078699713774,0.25,0.03000994454767279,0.001,0.0003805597033169535,2575.284379270306
41,-157.62299828097446,1.0,0.9721042455157799,1.0,1.168832496141797,0.25,0.007209928028376175,0.001,0.0003946039440068549,2579.770521406553
42,-157.58572687878166,1.0,0.9746826447006951,1.0,0.6772468211896467,0.25,0.5064966370942537,0.001,0.0006835864682389534,2572.642461794941
43,-157.56744021237301,1.0,0.9753194846468525,1.0,0.0001,0.25,1.1855317488623367,0.001,0.0007565414992224167,2570.928130423312
44,-158.3535242900456,1.0,0.9936284407430627,1.0,0.0001,0.25,1.2403311481107544,0.001,0.006485158738418376,2521.7061701084285
45,-157.57661899651004,1.0,0.9755606655874433,1.0,0.3087494342860246,0.25,0.876880576312419,0.001,0.0006236715906589291,2570.5533137576003
46,-157.61725762183437,1.0,0.9706541071802188,1.0,1.0443323425528168,0.25,0.13092560222581304,0.001,0.0005340538749470588,2582.2671370381117
47,-157.59605107737332,1.0,0.9744823045936061,1.0,1.1242314950342558,0.25,0.05765116611993625,0.001,0.0010024692973344576,2573.722305196111
48,-157.6072968624709,1.0,0.9742553975098134,1.0,0.9931896044181775,0.25,0.1880489625776976,0.001,0.00031591830598304104,2574.3365346809774
49,-157.6045931960393,1.0,0.9752521244181527,1.0,1.0084718550835867,0.25,0.17717304220414565,0.001,0.001749172964773634,2570.972262721357
50,-159.37604526699357,1.0,0.9272874550956091,1.0,0.6031979336630529,0.25,0.5116718133218976,0.001,0.0006762417509063256,2676.214204035249
