rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-270.7918709653501,1.0,0.7018549604862926,1.0,0.7575720545827853,0.25,0.0466982858978099,5e-07,0.00010099999999999999,3245.977419841638
2,-1911.9412440722515,1.0,0.33954673647140793,1.0,0.5047221650734537,0.25,0.13571520295797546,5e-07,0.000101,4972.6731501920785
3,-212.43605878208592,1.0,0.8915227144785023,1.0,0.7824013202580259,0.25,0.21103438959625492,5e-07,0.00010099999433501482,2754.837322954422
4,-389.1106313371656,1.0,0.5849461229867097,1.0,0.6194522583750779,0.25,0.06910594995395042,5e-07,0.000101,3651.8452189846535
5,-304.14801312599616,1.0,1.542995599409914,1.0,1.9686890523639653,0.25,0.3460929830131916,5e-07,0.00010099999841278895,1661.57292991591
6,-729.3180124136281,1.0,0.6003920380654918,1.0,0.9580133018400929,0.25,0.06342929017390891,5e-07,0.000101,3425.983696728027
7,-1485.7360065050627,1.0,0.48664462367008654,1.0,0.8264830955450774,0.25,0.15866202505278054,5e-07,0.000101,3882.0325246895627
8,-265.76925855338106,1.0,0.8071659427698599,1.0,0.6537338512084517,0.25,0.20015445939583565,5e-07,0.00010099999461523945,2982.389989951572
9,-1256.3408125916403,1.0,0.388897366587192,1.0,0.2872237889991499,0.25,0.34934393149312715,5e-07,0.000101,4609.500950912012
10,-243.7898139517057,1.0,0.7807545579661467,1.0,0.7888970944259284,0.25,0.07422975123243125,5e-07,0.00010100000063828528,3031.6983849761477
11,-183.44757340064518,1.0,0.9770924390557285,1.0,0.5618575498270975,0.25,0.5786648081589978,5e-07,0.00010099999553513507,2552.1702111443524
12,-814.4935969856845,1.0,0.4461247086763551,1.0,0.0001,0.25,0.4162941450518416,5e-07,0.00010100060922124499,4347.285713217311
13,-982.2798761161896,1.0,3.7242822183548006,1.0,4.375674415051377,0.25,0.2817360763305504,5e-07,0.000101,800.280799242839
14,-194.08020023372245,1.0,0.8578660152074182,1.0,0.6291601218866237,0.25,0.374497804245238,5e-07,0.00010099999460385307,2808.8125025484774
15,-247.62458734096924,1.0,0.7214536260464313,1.0,0.878202592823216,0.25,0.029013379611316528,5e-07,0.00010100000000000002,3142.9041587941338
16,-911.0031445314255,1.0,0.4892230629705071,1.0,0.0001,0.25,0.3914656025625323,5e-07,0.00010100057327042544,4160.608909056635
17,-513.1845014841513,1.0,1.9571166563679012,1.0,3.2426517203893814,0.25,0.01657808402558681,5e-07,0.000101,1308.529282592487
18,-331.5508013718666,1.0,1.6456551896920362,1.0,1.4507104041207948,0.25,0.5410344434803631,5e-07,0.000101,1668.720126125523
19,-200.76799020775212,1.0,0.8157178932743295,1.0,0.7386136801258608,0.25,0.3145790431346442,5e-07,0.000101,2864.7257408394516
20,-603.8920759066434,1.0,2.564294451564426,1.0,2.2688304195107922,0.25,1.0570304744380727,5e-07,0.000101,1110.984702679322
21,-213.5913655070789,1.0,0.8005111668354217,1.0,0.8065336844467258,0.25,0.24881321043147983,5e-07,0.000101,2894.1575330895566
22,-816.9770252933189,1.0,0.4608921140760953,1.0,0.34190794115119166,0.25,0.3472186698639424,5e-07,0.00010100004618752638,4167.058737241696
23,-628.5255375694403,1.0,2.7566295178317692,1.0,3.7490885748452487,0.25,0.2975292461793015,5e-07,0.00010100000140535291,999.5673324710291
24,-867.020583011805,1.0,0.6190707769754442,1.0,0.3758384258098241,0.25,0.7537258257569024,5e-07,0.000101,3312.325721566735
25,-840.0454885712822,1.0,0.5383356715934832,1.0,0.2643983805596151,0.25,0.16173466595862587,5e-07,0.000101,3956.073521704002
26,-241.79748824452548,1.0,0.8788181349138726,1.0,1.1689726908293006,0.25,0.10440566619365985,5e-07,0.000101,2651.419856562073
27,-265.9269015273163,1.0,1.3547736779604762,1.0,2.0002146831681347,0.25,0.031003010040995718,5e-07,0.00010099999999999999,1855.8891637977224
28,-634.2990933632782,1.0,2.7722181342658714,1.0,3.3501910911858066,0.25,0.7652724182236957,5e-07,0.00010174999999999999,990.7592938001296
29,-296.52772401453547,1.0,1.6489953274559939,1.0,1.4760138336032587,0.25,0.6909263955756275,5e-07,0.000101,1628.58109766325
30,-296.08541622831774,1.0,1.6390505383605527,1.0,1.3181036751097273,0.25,0.809719827943918,5e-07,0.00010174999999999999,1642.4863062778013
31,-208.93634212335596,1.0,1.0632284988529548,1.0,0.30767774488863997,0.25,0.8934338436069518,5e-07,0.00010100000066092742,2409.9772945136606
32,-304.66467184917235,1.0,0.6991318592657679,1.0,0.499083422892738,0.25,0.46447038692876774,5e-07,0.00010175,3169.905162356925
33,-1449.4919349304341,1.0,0.7504894412326952,1.0,0.31925149316500034,0.25,0.06532083788167226,5e-07,0.000101,3426.5910902340684
34,-703.8708697900636,1.0,2.9263570225623527,1.0,3.5947823112888257,0.25,0.27022639656279024,5e-07,0.000101,980.1470277707136
35,-980.4053795648456,1.0,0.6413879619175265,1.0,0.5883336068357136,0.25,0.6445384655818712,5e-07,0.000101,3195.792452402755
36,-289.17549157047097,1.0,0.6903644246802461,1.0,0.0001,0.25,0.9147921453071919,5e-07,0.00010099983332384443,3217.1898025014702
37,-170.40210369180082,1.0,0.9627614107821194,1.0,1.01071590015765,0.25,0.15717201425309335,5e-07,0.00010099999640206187,2561.3047628657946
38,-336.49134665892484,1.0,1.4142366421619517,1.0,1.268722738178216,0.25,0.2786572760833844,5e-07,0.000101,1941.048048624208
