rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
33,-479.39924028518,1.0,1.053412584925495,1.0,1.1788041677126944,0.25,0.14054570567817348,5e-05,0.00010099999896658254,240557.41773720598
34,-6958.997709730229,1.0,1.2964621705468338,1.0,1.7605388540220004,0.25,0.07590341413604809,5e-05,0.00010099999999999999,197867.1342176449
35,-3975.4077070436324,1.0,0.8018049651058727,1.0,0.8728384370752014,0.25,0.09014488434459653,5e-05,0.00013602730907095643,297411.3364367335
36,-68080.4182361528,1.0,0.4512454007330502,1.0,0.0001,0.25,0.6638141580640133,5e-05,0.00010100184485152418,428319.8237108361
37,-6219.527000604798,1.0,1.0463689391192288,1.0,1.005851129022776,0.25,0.13653605564070487,5e-05,0.000101,248811.38420729068
38,-64531.25130014439,1.0,0.9172722810279619,1.0,0.30367248385531764,0.25,0.36405210157119106,5e-05,0.000101,293861.1678299001
39,-303.45333686897357,1.0,1.0020391162592444,1.0,1.220141651066287,0.25,0.039486987392324126,5e-05,0.00010088501445618523,249839.37312594274
40,-14915.14248650261,1.0,0.7179763339785201,1.0,0.30340807078918397,0.25,0.7046549242992471,5e-05,0.000101,314066.4369020974
41,-34526.92594011215,1.0,0.8419546351870626,1.0,1.0656455351407974,0.25,0.36265723794253774,5e-05,0.000101,268906.26490350894
42,-79054.33655104753,1.0,0.420885145281533,1.0,0.20162522776836747,0.25,0.17015743502345898,5e-05,0.00010100000474245554,454236.79490006267
43,-15226.55816448573,1.0,0.645494213817035,1.0,0.6322662140498571,0.25,0.1673114086137628,5e-05,0.00011583099961122258,344513.40947224933
44,-13902.561443622559,1.0,0.9755884854680748,1.0,0.8768347213395751,0.25,0.09706944762394751,5e-05,0.000101,266647.1077252444
45,-3255.972490380649,1.0,1.0965577344283413,1.0,1.4483798735038296,0.25,0.07201180580500358,5e-05,0.00010100000086812701,227903.91972017274
46,-3331.621946643656,1.0,0.8315268396940301,1.0,0.9678909732676042,0.25,0.09944420066468944,5e-05,0.00010939936460016577,286377.6544263721
47,-360.38526756787905,1.0,0.974469326340364,1.0,0.030781396444867753,0.25,1.1934745621895013,5e-05,0.000350013037247842,255269.34972821028
48,-6231.439973799668,1.0,0.8152358542424413,1.0,0.5945060455839711,0.25,0.5096737968364144,5e-05,0.000101,287852.226879993
49,-170846.60997533263,1.0,0.7426881409453168,1.0,0.0001,0.25,0.16185796020273638,5e-05,0.00010100019433102904,377664.4063095616
50,-12093.977097054354,1.0,1.3582610391608954,1.0,1.0909518020186257,0.25,0.4403161082794554,5e-05,0.000101,201594.2380250633
