loglik,nu01,nu02,nuBot,T1,T2,dij,misid,theta
-512.8325658542102,43.567974204732415,53.29171754688221,5.862600561727832,83.189630594872,13.258483806791974,0.0011543167884890246,0.03175565795115606,204.7429271510593
-513.950899791952,21.25281643206427,74.56081522633748,2.865048929299026,39.37804614642925,7.243928064576186,0.0022824744070762903,0.030835608648747306,419.0845162967331
-513.367523111057,21.85300745444661,37.206719185644914,3.2978203951084333,46.237078958995475,7.572661598556054,0.0020467207610940772,0.0312741967274757,364.0556828648003
-513.0751969662047,32.62012944821737,72.61874333565477,4.498532132284297,62.97389822050164,10.914071850184405,0.0014866203022160984,0.03130359613488005,266.5999102385851
-690.4288122720878,33.193614041984496,26.055724388998463,0.2806419158244051,3.104918912177799,0.7330572829863066,0.00033039567949577257,0.01055671062842393,3998.200927285181
-514.0125405335233,15.909498118679522,50.477610337592154,3.5483887387959783,49.944743913832994,7.968940674945076,0.0019114457718495098,0.031164707841889516,338.623034138583
-513.5441757676157,19.443024567032083,38.53142413068576,3.0081438847542494,42.019096925275186,6.996849487655994,0.0022313384066175576,0.031130468278567212,398.940856722042
-513.2404061530751,33.758969620878574,28.02126230117058,3.0777516335146937,42.90104896905239,7.343638848673368,0.002171688963437443,0.031091033090385158,389.50073409254054
-720.2861367010017,0.0001,98.95485516366104,2.7750674810086258,58.427855261995305,4.355047635580415,0.0003088759316337098,0.048814323534145415,309.37711165425344
-1890.682314179366,5.7018662556388575,55.05731231673238,2.8182282397889153,22.99983540572722,17.58611582442174,0.0006440186895919804,0.010768654107953591,503.7702080491788
-514.0728246142496,23.572813303207933,14.71586107905726,2.9892848451945517,42.34803947096579,6.125084421727366,0.0022789198056876077,0.031890228669235535,402.67092644270343
-514.5812855130015,49.3033942440779,12.101059682786605,2.840490034815681,39.43087714175753,6.511305082275105,0.00234735771372243,0.031474002813891885,424.6699582372051
-514.2671431753581,31.28465878934349,32.704356427401734,2.0314263875900505,27.521377473893715,5.302946154085827,0.003215098301529906,0.03004864422857404,590.2382318516418
-512.9790988910045,44.96421243963942,35.405275170776044,4.954719078987171,70.26310924561099,11.119975680567698,0.0013591238163376401,0.03198255021103959,242.13329044317433
-515.5734901070091,11.091753689618658,90.88004786410423,4.647166844313813,66.0249356772523,10.113004159250135,0.0014585478870804529,0.032161773350332275,258.4902224593093
-514.5696919075913,23.24499244059221,62.557581994123254,6.921006625255746,99.92692179972089,13.649509480694437,0.0010109547680377633,0.03213759102111073,173.90842393137103
-516.2332240197659,9.030087882342858,78.04348682050917,4.985763475462197,71.31635104731195,10.256078300009142,0.0014028585757366687,0.03141979895813772,241.47625895301752
-512.8103730756338,95.95283298340573,46.431594499497905,6.99063497214927,98.81983754403656,16.483668267662516,0.0009691768175171495,0.031447391437256875,171.64646567240572
-512.8695191104368,38.201336769055615,59.48681377240085,4.780688394112168,67.15390761293767,11.41087859038483,0.0014075331201371976,0.03122632152054834,250.9248707189212
-548.2672749303736,0.39424305526024916,64.24871555622352,5.456639528600328,95.5450195651634,8.112405555879066,0.0012388646342243906,0.042494762561665955,191.98763598355748
-512.4426042322159,79.41207460847694,90.33896989958188,7.042027719926166,98.72095156294044,17.54763384718707,0.0009469956475595282,0.03148363567197471,170.2862663121523
-668.342554800686,18.00770617736926,99.17445557263767,1.2266362073394959,17.540625554608173,3.004606867120188,0.0002987006800218661,0.04975069087343779,903.1365062436321
-512.4879954775749,76.10816680033669,71.95222987613606,7.0371781988546305,99.05900243748971,17.02754755457911,0.00095186307393831,0.03154345309813163,170.5050528417994
-513.4016803105194,47.89462016312596,22.85450015672683,3.3635075001050008,47.060677999576264,7.9780022287668535,0.0019993011917089085,0.031095700719984146,356.24703702553177
-518.1941401782349,4.168176430984009,97.86833737067636,2.052762931939283,28.460735794710814,4.763922519492576,0.0032181855571532243,0.031025403347181586,582.7987560059835
-513.1787797025072,26.224905654790152,38.584804357326675,3.6343406373596467,51.1368492471255,8.362263697580024,0.0018474230533183495,0.031537319121082485,329.8290026776277
-512.5353420756836,72.21469395982383,65.2339815716842,6.9337450416178275,97.79529560879385,16.531024250503652,0.0009682629926653161,0.03160625108433607,173.08575293796136
-717.6437866106526,4.79562038291682,11.68565168573288,1.0192785457894968,19.515012013687844,1.5619310919621425,0.0003504045568213037,0.06482280574378667,893.7233554236432
-515.6715400541315,11.605266802916875,97.48694173698635,3.1228616622075283,43.48748290691202,7.404391063984852,0.002045963304781307,0.033208842002719396,384.09085050901933
-996.4708723691089,4.2705434096495,13.337572296353024,3.9818747581799623,45.37050492992981,14.680553430705809,0.001946385259367089,0.01959308997368968,348.2852152216622
-513.1155141912785,34.802061084137925,28.6751555984307,3.721153666878356,52.342693612756094,8.498261251023518,0.0018112575296222063,0.03148241731706924,322.6235191528913
-747.6482082453392,3.2166141045608847,99.04352902562,6.249135913175648,22.730300677891048,57.157991091585686,0.0018424208728990126,0.017066887823745464,265.8419430292299
-513.9957032545112,71.63834345561041,20.466626641582593,5.183570356401833,73.50934205706072,11.415159616482283,0.001326588814662201,0.030973646480324975,232.16933942123165
-514.8159398520166,11.26387215912123,23.909194722606472,2.8705485295435973,40.611345540303965,5.709839217200542,0.0023458086193087497,0.032092576360852165,420.62953615375045
-514.5470780589734,25.866264363818775,54.65230762257663,6.935923611850595,99.95538650438966,13.458055580333088,0.0009844996628244507,0.03247539496313242,173.9543547896502
-512.450518591713,78.10799776576,93.47591560599193,6.961461849996748,97.48931155498677,17.419649788790206,0.0009575525761613602,0.031449429286354975,172.28741012174373
-513.4897091750033,21.319911397927736,21.987240860613472,2.671170636422877,37.395181667267956,6.009266754082316,0.002526614257768356,0.031310075431253415,449.2395627575617
-512.7522242707597,48.07558828611963,49.906823537491874,5.425421296286734,76.68968987890928,12.610393696249094,0.001243056371096633,0.03144641604170663,221.02697741719402
-512.9576826686225,35.72795361164293,62.866835130199846,5.376137179672726,75.90575593001226,12.427913455582866,0.0012614054005737343,0.031227136921215436,223.41689184142092
